websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD301,HD301,HD301,Master,HD301,,"bead, glass bead, glitz, lux, luxury, shine, sheen, shiny, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD301_HD301_HD301.jpg,,61.99,Yard,1,4,Textural,"Gold, Bronze",,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD302,HD302,HD302,Master,HD302,,"bead, glass bead, glitz, lux, luxury, shine, sheen, shiny, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD302_HD302_HD302.jpg,,61.99,Yard,1,4,Textural,Silver,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD303,HD303,HD303,Master,HD303,,"bead, glass bead, glitz, lux, luxury, shine, sheen, shiny, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD303_HD303_HD303.jpg,,61.99,Yard,1,4,Textural,"Green, Blue",,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD304,HD304,HD304,Master,HD304,,"bead, glass bead, glitz, lux, luxury, shine, sheen, shiny, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD304_HD304_HD304.jpg,,61.99,Yard,1,4,Textural,"Brown, Bronze",,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD305,HD305,HD305,Master,HD305,,"bead, glass bead, glitz, lux, luxury, shine, sheen, shiny, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD305_HD305_HD305.jpg,,61.99,Yard,1,4,Textural,Beige,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD306,HD306,HD306,Master,HD306,,"bead, glass bead, glitz, lux, luxury, shine, sheen, shiny, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD306_HD306_HD306.jpg,,61.99,Yard,1,4,Textural,"Off-White, Silver",,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD307,HD307,HD307,Master,HD307,,"bead, glass bead, glitz, lux, luxury, shine, sheen, shiny, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD307_HD307_HD307.jpg,,61.99,Yard,1,4,Textural,Red,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD308,HD308,HD308,Master,HD308,,"bead, glass bead, glitz, lux, luxury, shine, sheen, shiny, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD308_HD308_HD308.jpg,,61.99,Yard,1,4,Textural,"Brown, Bronze",,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD309,HD309,HD309,Master,HD309,,"bead, glass bead, glitz, lux, luxury, shine, sheen, shiny, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD309_HD309_HD309.jpg,,61.99,Yard,1,4,Textural,Bronze,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD310,HD310,HD310,Master,HD310,,"bead, glass bead, glitz, lux, luxury, shine, sheen, shiny, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD310_HD310_HD310.jpg,,61.99,Yard,1,4,Textural,Pink,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD311,HD311,HD311,Master,HD311,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD311_HD311_HD311.jpg,,61.99,Yard,1,4,Textural,"Black, Silver",,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD312,HD312,HD312,Master,HD312,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD312_HD312_HD312.jpg,,61.99,Yard,1,4,Textural,"Black, Silver",,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD313,HD313,HD313,Master,HD313,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD313_HD313_HD313.jpg,,61.99,Yard,1,4,Textural,Purple,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD314,HD314,HD314,Master,HD314,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD314_HD314_HD314.jpg,,61.99,Yard,1,4,Textural,Silver,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD315,HD315,HD315,Master,HD315,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD315_HD315_HD315.jpg,,61.99,Yard,1,4,Textural,Silver,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD316,HD316,HD316,Master,HD316,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD316_HD316_HD316.jpg,,61.99,Yard,1,4,Textural,Gold,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD317,HD317,HD317,Master,HD317,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD317_HD317_HD317.jpg,,61.99,Yard,1,4,Textural,Pink,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD318,HD318,HD318,Master,HD318,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD318_HD318_HD318.jpg,,61.99,Yard,1,4,Textural,Black,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD319,HD319,HD319,Master,HD319,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD319_HD319_HD319.jpg,,61.99,Yard,1,4,Textural,Red,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD320,HD320,HD320,Master,HD320,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD320_HD320_HD320.jpg,,61.99,Yard,1,4,Textural,"Blue, Green",,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
H,Rotex,3-6 weeks,Specialty,"Metallic, Textured",Hollywood Dazzle III,HD321,HD321,HD321,Master,HD321,,"sequin, glitter, glitz, lux, luxury, shine, sheen, shiny, sparkle, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Hollywood_Dazzle_III/HD321_HD321_HD321.jpg,,61.99,Yard,1,4,Textural,Green,,Non-woven,36,11,,,,,,,Random,,2.5,Paste the Paper,Strippable,Spongeable,Good,ASTM E84 04 Class A,,Pre-trimmed,No
