websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I900,I900,I900,Master,I900,,"shine, shiny, sheen, pinstripe, mica, mineral, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I900_I900_I900.jpg,,290.00,Roll,1,1,"Stripes + Plaid, Textural","Silver, Grey",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I901,I901,I901,Master,I901,,"shine, shiny, sheen, pinstripe, mica, mineral, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I901_I901_I901.jpg,,290.00,Roll,1,1,"Stripes + Plaid, Textural","Bronze, Grey",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I902,I902,I902,Master,I902,,"shine, shiny, sheen, pinstripe, mica, mineral, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I902_I902_I902.jpg,,290.00,Roll,1,1,"Stripes + Plaid, Textural","Silver, White",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I903,I903,I903,Master,I903,,"shine, shiny, sheen, pinstripe, mica, mineral, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I903_I903_I903.jpg,,290.00,Roll,1,1,"Stripes + Plaid, Textural","Silver, White",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I904,I904,I904,Master,I904,,"shine, shiny, sheen, pinstripe, mica, mineral, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I904_I904_I904.jpg,,290.00,Roll,1,1,"Stripes + Plaid, Textural","Cream, Gold",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I905,I905,I905,Master,I905,,"shine, shiny, sheen, pinstripe, mica, mineral, sparkle",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I905_I905_I905.jpg,,290.00,Roll,1,1,"Stripes + Plaid, Textural","Bronze, Neutral",,Paper,36,11,,,,,,0.98,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I906,I906,I906,Master,I906,,"shine, shiny, sheen, mica, mineral, sparkle, wave, wavey",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I906_I906_I906.jpg,,290.00,Roll,1,1,"Abstract, Textural","Silver, Grey",,Paper,36,11,,,,,,0.98,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I907,I907,I907,Master,I907,,"shine, shiny, sheen, mica, mineral, sparkle, wave, wavey",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I907_I907_I907.jpg,,290.00,Roll,1,1,"Abstract, Textural","Bronze, Grey",,Paper,36,11,,,,,,0.98,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I908,I908,I908,Master,I908,,"shine, shiny, sheen, mica, mineral, sparkle, wave, wavey",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I908_I908_I908.jpg,,290.00,Roll,1,1,"Abstract, Textural","Gold, ",,Paper,36,11,,,,,,0.98,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I909,I909,I909,Master,I909,,"shine, shiny, sheen, mica, mineral, sparkle, wave, wavey",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I909_I909_I909.jpg,,290.00,Roll,1,1,"Abstract, Textural","Gold, White, Cream",,Paper,36,11,,,,,,0.98,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I910,I910,I910,Master,I910,,"shine, shiny, sheen, mica, mineral, sparkle, wave, wavey",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I910_I910_I910.jpg,,290.00,Roll,1,1,"Abstract, Textural","White, Silver",,Paper,36,11,,,,,,0.98,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I911,I911,I911,Master,I911,,"shine, shiny, sheen, mica, mineral, sparkle, deco, zig zag, maze, geometric",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I911_I911_I911.jpg,,290.00,Roll,1,1,"Geometric, Textural","Grey, Silver",,Paper,36,11,,,,,,6.3,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I912,I912,I912,Master,I912,,"shine, shiny, sheen, mica, mineral, sparkle, deco, zig zag, maze, geometric",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I912_I912_I912.jpg,,290.00,Roll,1,1,"Geometric, Textural",Bronze,,Paper,36,11,,,,,,6.3,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I913,I913,I913,Master,I913,,"shine, shiny, sheen, mica, mineral, sparkle, deco, zig zag, maze, geometric",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I913_I913_I913.jpg,,290.00,Roll,1,1,"Geometric, Textural","Neutral, Silver, Gold",,Paper,36,11,,,,,,6.3,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I914,I914,I914,Master,I914,,"shine, shiny, sheen, mica, mineral, sparkle, deco, zig zag, maze, geometric",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I914_I914_I914.jpg,,290.00,Roll,1,1,"Geometric, Textural","Gold, White, Cream",,Paper,36,11,,,,,,6.3,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Mica",Indulgence,I915,I915,I915,Master,I915,,"shine, shiny, sheen, mica, mineral, sparkle, deco, zig zag, maze, geometric",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I915_I915_I915.jpg,,290.00,Roll,1,1,"Geometric, Textural","Silver, White",,Paper,36,11,,,,,,6.3,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Cork",Indulgence,I916,I916,I916,Master,I916,,"shine, shiny, sheen, stone, slab, cinderblock, gride, tile",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I916_I916_I916.jpg,,348.00,Roll,1,1,"Faux Finish, Textural","Silver, ",,Paper,36,11,,,,,,20.47,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Cork",Indulgence,I917,I917,I917,Master,I917,,"shine, shiny, sheen, stone, slab, cinderblock, gride, tile",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I917_I917_I917.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I917_I917_I917_install.jpg,348.00,Roll,1,1,"Faux Finish, Textural","Neutral, Silver,",,Paper,36,11,,,,,,20.47,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Cork",Indulgence,I918,I918,I918,Master,I918,,"shine, shiny, sheen, stone, slab, cinderblock, gride, tile",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I918_I918_I918.jpg,,348.00,Roll,1,1,"Faux Finish, Textural",Gold,,Paper,36,11,,,,,,20.47,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Cork",Indulgence,I919,I919,I919,Master,I919,,"shine, shiny, sheen, stone, slab, cinderblock, gride, tile",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I919_I919_I919.jpg,,348.00,Roll,1,1,"Faux Finish, Textural",Gold,,Paper,36,11,,,,,,20.47,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Cork",Indulgence,I920,I920,I920,Master,I920,,"shine, shiny, sheen, stone, slab, cinderblock, gride, tile",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I920_I920_I920.jpg,,348.00,Roll,1,1,"Faux Finish, Textural",Silver,,Paper,36,11,,,,,,20.47,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Textured,Indulgence,I921,I921,I921,Master,I921,,"shine, shiny, sheen, pinstripe, yard, chenille",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I921_I921_I921.jpg,,275.00,Roll,1,1,"Stripes + Plaid, Textural","White, Silver",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Textured,Indulgence,I922,I922,I922,Master,I922,,"shine, shiny, sheen, pinstripe, yard, chenille",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I922_I922_I922.jpg,,275.00,Roll,1,1,"Stripes + Plaid, Textural","Gold, White",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Textured,Indulgence,I923,I923,I923,Master,I923,,"shine, shiny, sheen, pinstripe, yard, chenille",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I923_I923_I923.jpg,,275.00,Roll,1,1,"Stripes + Plaid, Textural","White, Bronze",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Textured,Indulgence,I924,I924,I924,Master,I924,,"shine, shiny, sheen, pinstripe, yard, chenille",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I924_I924_I924.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I924_I924_I924_install.jpg,275.00,Roll,1,1,"Stripes + Plaid, Textural","Black, Silver",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Textured,Indulgence,I925,I925,I925,Master,I925,,"shine, shiny, sheen, pinstripe, yard, chenille",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I925_I925_I925.jpg,,275.00,Roll,1,1,"Stripes + Plaid, Textural","Black, Gold",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Textured,Indulgence,I926,I926,I926,Master,I926,,"shine, shiny, sheen, pinstripe, yard, chenille",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I926_I926_I926.jpg,,275.00,Roll,1,1,"Stripes + Plaid, Textural","Bronze, Black",,Paper,36,11,,,,,,,Random,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,"Textured, Cork",Indulgence,I927,I927,I927,Master,I927,,"shine, sheen, shiny, polka dots, mod, optical, circles, dots, corks",https://s3-us-west-2.amazonaws.com/astek-product-images/Indulgence/I927_I927_I927.jpg,,348.00,Roll,1,1,"Geometric, Textural","Gold, Cream",,Paper,36,11,,,,,,20.47,Offset ,,6,Paste the Wall,Strippable ,Light Vacuum ,Good,Class A,,Pre-Trimmed,No
