websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Astek,Digital,Featured Designers,Jim Flora,Jumpin Jive,JF100,Day,Master,JF100-1,,"whimsy, quirky, retro, cute, music, record, record player",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF100-1_Jumpin_Jive_DAY.jpg,,6.50,Square Foot,1,1,"Whimsical, Children's, Illustrative",Multi,Paper,,,,,,,,26,13,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Space Amoeba,JF101,Space Amoeba,Master,JF101-1,,"retro, quirky, shapes, star, stars",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF101-1_Space_Amoeba_SPACEAMOEBA.jpg,,6.50,Square Foot,1,1,"Whimsical, Children's",Multi,Paper,,,,,,,,52,34.7,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Bell Island,JF102,Deep Blue,Color Way,JF102-1,,"whimsy, quirky, fun, playful, retro",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF102-1_Bell_Island_DEEPBLUE.jpg,,6.50,Square Foot,1,1,"Whimsical, Scenic + Toile, Illustrative",Multi,Paper,,,,,,,,52,24.6,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Bell Island,JF102,White,Color Way,JF102-2,,"whimsy, quirky, fun, playful, retro",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF102-2_Bell_Island_WHITE.jpg,,6.50,Square Foot,1,1,"Whimsical, Scenic + Toile, Illustrative",Multi,Paper,,,,,,,,52,24.6,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Circus ,JF103,Circus ,Master,JF103-1,,"whimsy, quirky, fun, playful, circus, acrobat, acrobats, elephant, giraffe, monkeys, retro",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF103-1_Circus_CIRCUS.jpg,,6.50,Square Foot,1,1,"Whimsical, Illustrative, Animalia, Children's",Multi,Paper,,,,,,,,33.9,28,Straight,33.9,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Fletcher Henderson,JF104,Fletcher Henderson,Master,JF104-1,,"whimsy, quirky, fun, playful, retro, stylized, jazz, swing, big band, bandleader",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF104-1_Fletcher_Henderson_FLETCHERHENDERSON.jpg,,6.50,Square Foot,1,1,"Whimsical, Children's, Abstract",Multi,Paper,,,,,,,,30,44,Straight,30,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Forest Picnic,JF105,Autumn,Color Way,JF105-1,,"whimsy, quirky, fun, playful, retro, horse, cow, forest, trees, picnic, woodland",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF105-1_Forest_Picnic_AUTUMN.jpg,,6.50,Square Foot,1,1,"Animalia, Whimsical, Illustrative, Children's",Multi,Paper,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Forest Picnic,JF105,Day,Color Way,JF105-2,,"whimsy, quirky, fun, playful, retro, horse, cow, forest, trees, picnic, woodland",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF105-2_Forest_Picnic_DAY.jpg,,6.50,Square Foot,1,1,"Animalia, Whimsical, Illustrative, Children's",Multi,Paper,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Forest Picnic,JF105,Midsummer,Color Way,JF105-3,,"whimsy, quirky, fun, playful, retro, horse, cow, forest, trees, picnic, woodland",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF105-3_Forest_Picnic_MIDSUMMER.jpg,,6.50,Square Foot,1,1,"Animalia, Whimsical, Illustrative, Children's","Blue, Multi",Paper,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Mambo for Cats,JF106,Mambo for Cats,Master,JF106-1,,"whimsy, quirky, fun, playful, retro, stylized, mambo, cat, music, bigband",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF106-1_Mambo_for_Cats_MAMBOFORCATS.jpg,,6.50,Square Foot,1,1,"Animalia, Whimsical, Illustrative, Children's",Multi,Paper,,,,,,,,52,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Manhattan,JF107,Red Blue,Master,JF107-1,,"whimsy, quirky, fun, playful, retro, stylized, city, skyscrapper, nyc, new york, statue of liberty",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF107-1_Manhattan_MANHATTAN.jpg,,6.50,Square Foot,1,1,"Whimsical, Scenic + Toile, Illustrative, Children's",Multi,Paper,,,,,,,,52,28.3,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Mardis Gras,JF108,Sandstone,Color Way,JF108-1,,"whimsy, quirky, fun, playful, retro, masks",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF108-1_Mardis_Gras_SANDSTONE.jpg,,6.50,Square Foot,1,1,"Whimsical, Children's, Illustrative",Beige,Paper,,,,,,,,52,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Mardis Gras,JF108,Sienna,Color Way,JF108-2,,"whimsy, quirky, fun, playful, retro, masks",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF108-2_Mardis_Gras_SIENNA.jpg,,6.50,Square Foot,1,1,"Whimsical, Children's, Illustrative","Brown, Orange",Paper,,,,,,,,52,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Mardis Gras,JF108,Ultra Marine,Color Way,JF108-3,,"whimsy, quirky, fun, playful, retro, masks",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF108-3_Mardis_Gras_ULTRAMARINE.jpg,,6.50,Square Foot,1,1,"Whimsical, Children's, Illustrative",Blue,Paper,,,,,,,,52,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,On the Sea,JF109,On the Sea,Master,JF109-1,,"whimsy, quirky, fun, playful, retro, nautical, ocean, ship",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF109-1_On_the_Sea_ONTHESEA.jpg,,6.50,Square Foot,1,1,"Whimsical, Scenic + Toile, Illustrative, Children's",Blue,Paper,,,,,,,,52,37,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Jim Flora,Rhapsody,JF110,Yellow,Color Way,JF110-1,,"whimsy, quirky, fun, playful, retro, music, musical instruments, trumbone, piano, drums, musical note, jazz",https://s3-us-west-2.amazonaws.com/astek-product-images/Jim_Flora/JF110-1_Rhapsody_YELLOW.jpg,,6.50,Square Foot,1,1,"Whimsical, Children's, Illustrative, Illustrative",Multi,Paper,,,,,,,,45,22.5,Straight,45,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
