websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Belle,AD210,Ivory,Color Way,AD210-1,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby, floral, rose",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD210-1_Belle_IVORY.jpg,,9.99,Square Foot,1,1,Botanical,"Neutral, Silver",White Mylar,,,,,,,,26,35.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Belle,AD210,Noir,Color Way,AD210-2,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby, floral, rose",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD210-2_Belle_NOIR.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD210-2_Belle_NOIR_install.jpg,9.99,Square Foot,1,1,Botanical,Black,Black Mylar,,,,,,,,26,35.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Belle,AD210,Rose Gold,Color Way,AD210-3,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby, floral, rose",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD210-3_Belle_ROSEGOLD.jpg,,9.99,Square Foot,1,1,Botanical,"Gold, White, Cream",Gold Mylar,,,,,,,,26,35.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Jardin,AD212,Champagne,Color Way,AD212-1,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD212-1_Jardin_CHAMPAGNE.jpg,,9.99,Square Foot,1,1,Botanical,"Black, Silver",Silver Mylar,,,,,,,,36.14,34.17,Straight,36.14,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Jardin,AD212,Classic,Color Way,AD212-2,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD212-2_Jardin_CLASSIC.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD212-2_Jardin_CLASSIC_install.jpg,9.99,Square Foot,1,1,Botanical,Black and White,White Mylar,,,,,,,,36.14,34.17,Straight,36.14,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Jardin,AD212,Noir,Color Way,AD212-3,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD212-3_Jardin_NOIR.jpg,,9.99,Square Foot,1,1,Botanical,Black,Black Mylar,,,,,,,,36.14,34.17,Straight,36.14,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Jove,AD214,Champagne,Color Way,AD214-1,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD214-1_Jove_CHAMPAGNE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD214-1_Jove_CHAMPAGNE_install.jpg,9.99,Square Foot,1,1,Painterly,"Black, Silver",Silver Mylar,,,,,,,,12,14.47,Straight,48,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Jove,AD214,Creme,Color Way,AD214-2,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD214-2_Jove_CREME.jpg,,9.99,Square Foot,1,1,Painterly,"Off-White, Silver",Silver Mylar,,,,,,,,12,14.47,Straight,48,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Jove,AD214,Gilded,Color Way,AD214-3,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD214-3_Jove_GILDED.jpg,,9.99,Square Foot,1,1,Painterly,"Bronze, Silver",Silver Mylar,,,,,,,,12,14.47,Straight,48,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Lumiere,AD215,Bronze,Color Way,AD215-1,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD215-1_Lumiere_BRONZE.jpg,,9.99,Square Foot,1,1,Photographic,"Bronze, Silver",Silver Mylar,,,,,,,,23.44,18.166,Straight,46.89,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Lumiere,AD215,Glaze,Color Way,AD215-2,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD215-2_Lumiere_GLAZE.jpg,,9.99,Square Foot,1,1,Photographic,"Grey, Silver",White Mylar,,,,,,,,23.44,18.166,Straight,46.89,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Lumiere,AD215,Pearl,Color Way,AD215-3,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD215-3_Lumiere_PEARL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD215-3_Lumiere_PEARL_install.jpg,9.99,Square Foot,1,1,Photographic,"White, Silver",White Mylar,,,,,,,,23.44,18.166,Straight,46.89,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Margarida,AD216,Classic,Color Way,AD216-1,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD216-1_Margarida_CLASSIC.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD216-1_Margarida_CLASSIC_install.jpg,9.99,Square Foot,1,1,Illustrative,"Grey, Silver",White Mylar,,,,,,,,25.27,13.19,Straight,50.54,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Margarida,AD216,Glamour,Color Way,AD216-2,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD216-2_Margarida_GLAMOUR.jpg,,9.99,Square Foot,1,1,Illustrative,"Black, Gold",Gold Mylar,,,,,,,,25.27,13.19,Straight,50.54,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
