websites,vendor,product_category,product_type,collection,design_name,variant_name_old,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Layered Earth,Nest,Nest - Chalk,Chalk,Color Way,AD080-1,,"geometric, handdrawn, diamond, ","https://s3.amazonaws.com/astek/designs/Nest_Chalk(2).jpg, https://s3.amazonaws.com/astek/designs/Nest-Chalk_Roomset(2).jpg",7,Square Foot,1,1,"Geometric, Illustrative, abstract",Black and White,Topeka,,,,,,47.715,32.605,Straight,47.715,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Nest,Nest - Dune,Dune,Color Way,AD080-2,,"geometric, handdrawn, diamond, ","https://s3.amazonaws.com/astek/designs/Nest_Dune.jpg, https://s3.amazonaws.com/astek/designs/Nest_Dune_b.jpg, https://s3.amazonaws.com/astek/designs/Nest-Dune_Roomset.jpg",7,Square Foot,1,1,"Geometric, Illustrative, abstract",Neutral,Topeka,,,,,,47.715,32.605,Straight,47.715,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Nest,Nest - Lake,Lake,Color Way,AD080-3,,"geometric, handdrawn, diamond, ","https://s3.amazonaws.com/astek/designs/Nest_Lake.jpg, https://s3.amazonaws.com/astek/designs/Nest-Lake_Roomset.jpg",7,Square Foot,1,1,"Geometric, Illustrative, abstract",Blue,Topeka,,,,,,47.715,32.605,Straight,47.715,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Pammukkale,Pammukkale - Lagoon,Lagoon,Color Way,AD081-1,,"abstract, photographic, water","https://s3.amazonaws.com/astek/designs/Pammukale_Lagoon.jpg, https://s3.amazonaws.com/astek/designs/Pamukkale_Lagoon_RoomSet.jpg",7.5,Square Foot,1,1,"Photographic, Abstract, ",Neutral,White Mylar,,,,,,52,44.86,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Pammukkale,Pammukkale - Snowdrift,Snowdrift,Color Way,AD081-2,,"abstract, photographic, water","https://s3.amazonaws.com/astek/designs/Pammukale_Snowdrift.jpg, https://s3.amazonaws.com/astek/designs/Pamukkale_Snow_Flat_RoomSet.jpg",7.5,Square Foot,1,1,"Photographic, Abstract, ",Neutral,White Mylar,,,,,,52,44.86,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Pammukkale,Pammukkale - Storm,Storm,Color Way,AD081-3,,"abstract, photographic, water","https://s3.amazonaws.com/astek/designs/Pammukale_Storm.jpg, https://s3.amazonaws.com/astek/designs/Pamukkale_Storm_Flat_RoomSet.jpg",7.5,Square Foot,1,1,"Photographic, Abstract, ",Neutral,White Mylar,,,,,,52,44.86,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Parcel,Parcel - Grain,Grain,Color Way,AD082-1,,"abstract, painterly, collage","https://s3.amazonaws.com/astek/designs/parcel_grain.jpg, https://s3.amazonaws.com/astek/designs/Parcel_Grain_Flat_RoomSet.jpg",7,Square Foot,1,1,"Contemporary, Painterly, abstract",Neutral,Topeka,,,,,,52,44.86,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Parcel,Parcel - Granite,Granite,Color Way,AD082-2,,"abstract, painterly, collage","https://s3.amazonaws.com/astek/designs/parcel_granite.jpg, https://s3.amazonaws.com/astek/designs/Parcel_Granite_Flat_RoomSet.jpg",7,Square Foot,1,1,"Contemporary, Painterly, abstract",Neutral,Topeka,,,,,,52,44.86,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Parcel,Parcel - Meadow,Meadow,Color Way,AD082-3,,"abstract, painterly, collage","https://s3.amazonaws.com/astek/designs/parcel_meadow.jpg, https://s3.amazonaws.com/astek/designs/Parcel_Meadow_Flat_RoomSet.jpg",7,Square Foot,1,1,"Contemporary, Painterly, abstract",Yellow,Topeka,,,,,,52,44.86,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Peak,Peak - Alpenglow,Alpenglow,Color Way,AD083-1,,"geometric, abstract, handdrawn","https://s3.amazonaws.com/astek/designs/Peak_alpenglow.jpg, https://s3.amazonaws.com/astek/designs/Peak_Alpenglow_RoomSet.jpg",7,Square Foot,1,1,"Geometric, Illustrative, abstract",Neutral,Topeka,,,,,,52,15.25,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
