websites,vendor,product_category,product_type,collection,design_name,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Layered Earth,Nest,Nest - Chalk,Color Way,AD080-1,,"geometric, hand drawn","https://s3.amazonaws.com/astek/designs/Nest_Chalk(2).jpg, https://s3.amazonaws.com/astek/designs/Nest-Chalk_Roomset(2).jpg",9.99,Square Foot,1,1,"Geometric, Illustrative",Black and White,Topeka,,,,,,47.715,32.605,Straight,47.715,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Nest,Nest - Dune,Color Way,AD080-2,,"geometric, hand drawn","https://s3.amazonaws.com/astek/designs/Nest_Dune.jpg, https://s3.amazonaws.com/astek/designs/Nest_Dune_b.jpg, https://s3.amazonaws.com/astek/designs/Nest-Dune_Roomset.jpg",9.99,Square Foot,1,1,"Geometric, Illustrative",Neutral,Topeka,,,,,,47.715,32.605,Straight,47.715,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Nest,Nest - Lake,Color Way,AD080-3,,"geometric, hand drawn","https://s3.amazonaws.com/astek/designs/Nest_Lake.jpg, https://s3.amazonaws.com/astek/designs/Nest-Lake_Roomset.jpg",9.99,Square Foot,1,1,"Geometric, Illustrative",Blue,Topeka,,,,,,47.715,32.605,Straight,47.715,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Pammukkale,Pammukkale - Lagoon,Color Way,AD081-1,,"abstract, watercolor","https://s3.amazonaws.com/astek/designs/Pammukale_Lagoon.jpg, https://s3.amazonaws.com/astek/designs/Pamukkale_Lagoon_RoomSet.jpg",9.99,Square Foot,1,1,Photographic,Neutral,White Mylar,,,,,,52,44.86,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Pammukkale,Pammukkale - Snowdrift,Color Way,AD081-2,,"abstract, watercolor","https://s3.amazonaws.com/astek/designs/Pammukale_Snowdrift.jpg, https://s3.amazonaws.com/astek/designs/Pamukkale_Snow_Flat_RoomSet.jpg",9.99,Square Foot,1,1,Photographic,Neutral,White Mylar,,,,,,52,44.86,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Pammukkale,Pammukkale - Storm,Color Way,AD081-3,,"abstract, watercolor","https://s3.amazonaws.com/astek/designs/Pammukale_Storm.jpg, https://s3.amazonaws.com/astek/designs/Pamukkale_Storm_Flat_RoomSet.jpg",9.99,Square Foot,1,1,Photographic,Neutral,White Mylar,,,,,,52,44.86,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Parcel,Parcel - Grain,Color Way,AD082-1,,"abstract, painterly","https://s3.amazonaws.com/astek/designs/parcel_grain.jpg, https://s3.amazonaws.com/astek/designs/Parcel_Grain_Flat_RoomSet.jpg",9.99,Square Foot,1,1,"Contemporary, Painterly",Neutral,Topeka,,,,,,52,44.86,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Parcel,Parcel - Granite,Color Way,AD082-2,,"abstract, painterly","https://s3.amazonaws.com/astek/designs/parcel_granite.jpg, https://s3.amazonaws.com/astek/designs/Parcel_Granite_Flat_RoomSet.jpg",9.99,Square Foot,1,1,"Contemporary, Painterly",Neutral,Topeka,,,,,,52,44.86,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Parcel,Parcel - Meadow,Color Way,AD082-3,,"abstract, painterly","https://s3.amazonaws.com/astek/designs/parcel_meadow.jpg, https://s3.amazonaws.com/astek/designs/Parcel_Meadow_Flat_RoomSet.jpg",9.99,Square Foot,1,1,"Contemporary, Painterly",Yellow,Topeka,,,,,,52,44.86,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Peak,Peak - Alpenglow,Color Way,AD083-1,,"geometric, abstract","https://s3.amazonaws.com/astek/designs/Peak_alpenglow.jpg, https://s3.amazonaws.com/astek/designs/Peak_Alpenglow_RoomSet.jpg",9.99,Square Foot,1,1,"Geometric, Illustrative",Neutral,Topeka,,,,,,52,15.25,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
