websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Layered Earth,Nest,AD080,Chalk,Color Way,AD080-1,,"geometric, handdrawn, diamond, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD080-1_Nest_CHALK.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD080-1_Nest_CHALK_install.jpg,7.00,Square Foot,1,1,"Geometric, Illustrative, abstract","Black, Grey",Topeka,,,,,,,,47.715,32.605,Straight,47.715,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Nest,AD080,Dune,Color Way,AD080-2,,"geometric, handdrawn, diamond, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD080-2_Nest_DUNE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD080-2_Nest_DUNE_install.jpg,7.00,Square Foot,1,1,"Geometric, Illustrative, abstract",Neutral,Topeka,,,,,,,,47.715,32.605,Straight,47.715,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Nest,AD080,Lake,Color Way,AD080-3,,"geometric, handdrawn, diamond, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD080-3_Nest_LAKE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD080-3_Nest_LAKE_install.jpg,7.00,Square Foot,1,1,"Geometric, Illustrative, abstract",Blue,Topeka,,,,,,,,47.715,32.605,Straight,47.715,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Pammukkale,AD081,Lagoon,Color Way,AD081-1,,"abstract, photographic, water",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD081-1_Pammukkale_LAGOON.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD081-1_Pammukkale_LAGOON_install.jpg,7.50,Square Foot,1,1,"Photographic, Abstract, ","Neutral, Blue, Green",White Mylar,,,,,,,,52,44.86,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Pammukkale,AD081,Snowdrift,Color Way,AD081-2,,"abstract, photographic, water",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD081-2_Pammukkale_SNOWDRIFT.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD081-2_Pammukkale_SNOWDRIFT_install.jpg,7.50,Square Foot,1,1,"Photographic, Abstract, ","Neutral, Grey, Off-White",White Mylar,,,,,,,,52,44.86,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Pammukkale,AD081,Storm,Color Way,AD081-3,,"abstract, photographic, water",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD081-3_Pammukkale_STORM.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD081-3_Pammukkale_STORM_install.jpg,7.50,Square Foot,1,1,"Photographic, Abstract, ","Neutral, Grey",White Mylar,,,,,,,,52,44.86,Straight,42,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Parcel,AD082,Grain,Color Way,AD082-1,,"abstract, painterly, collage",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD082-1_Parcel_GRAIN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD082-1_Parcel_GRAIN_install.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, abstract","Beige, Neutral, Cream",Topeka,,,,,,,,52,44.86,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Parcel,AD082,Granite,Color Way,AD082-2,,"abstract, painterly, collage",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD082-2_Parcel_GRANITE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD082-2_Parcel_GRANITE_install.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, abstract",Neutral,Topeka,,,,,,,,52,44.86,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Parcel,AD082,Meadow,Color Way,AD082-3,,"abstract, painterly, collage",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD082-3_Parcel_MEADOW.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD082-3_Parcel_MEADOW_install.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, abstract","Green, ",Topeka,,,,,,,,52,44.86,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Peak,AD083,Dew,Color Way,AD083-2,,"geometric, abstract, handdrawn",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD083-2_Peak_DEW.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD083-2_Peak_DEW_install.jpg,7.00,Square Foot,1,1,"Geometric, Illustrative, abstract","Neutral, multi",Topeka,,,,,,,,52,15.25,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
