websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_notes,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Lincrusta,2-3 weeks,Specialty,Textured,Lincrusta,Elizabeth,RD1583,Elizabeth,Master,RD1583,"Mirroring the orderly geometric patterns so favoured in the English stately homes of the 16th century, Elizabeth is a regal design that can add a sense of grandeur and majesty to any interior today.","embossed, emboss, texture, paintable, regal",https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1583_Elizabeth_ELIZABETH.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1583_Elizabeth_ELIZABETH_install.jpg,399.99,Roll,1,1,"Geometric, Traditional, Textural",Cream,,,,21.125,11,,,,,10.5625,,Straight,,24LBS,,,,,Class A,,,No
"A,H",Lincrusta,2-3 weeks,Specialty,Textured,Lincrusta,Border,RD1639,Border,Master,RD1639,The sharply defined edges of this versatile border make it the ideal way to accurately create effective dados and panelled areas.,"embossed, emboss, texture, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1639_Border_BORDER.jpg,,80.99,Roll,1,1,Textural,Cream,,,,2.75,11,,,,,,,,,24LBS,,,,,Class A,,,No
"A,H",Lincrusta,2-3 weeks,Specialty,Textured,Lincrusta,Border,RD1640,Border,Master,RD1640,,"embossed, emboss, texture, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1640_Border_BORDER.jpg,,80.99,Roll,1,1,Textural,Cream,,,,1.625,11,,,,,,,,,24LBS,,,,,Class A,,,No
"A,H",Lincrusta,2-3 weeks,Specialty,Textured,Lincrusta,Georgian Panel,RD1650,Georgian Panel,Master,RD1650,Many fine houses of the mid 18th century would have featured authentic panelling just like this. Finish our version with a finely grained wood effect for a beautifully convincing alternative to the real thing.,"embossed, emboss, texture, paintable, panel, vaneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1650_Georgian_Panel_GEORGIANPANEL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1650_Georgian_Panel_GEORGIANPANEL_install.jpg,399.99,Roll,1,1,"Textural, Faux Finish",Cream,,,,21,11,,,,,14.375,,Straight,,24LBS,,,,,Class A,,,No
"A,H",Lincrusta,2-3 weeks,Specialty,Textured,Lincrusta,Crichton,RD1805,Crichton,Master,RD1805,"Considered and contemporary, Crichton's deeply embossed lines of varying thicknesses gives it a rich texture, making it an ideal design to use on its own or as a fine way to complement a feature wall.","embossed, emboss, texture, paintable, lines, varigated",https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1805_Crichton_CRICHTON.jpg,,399.99,Roll,1,1,Textural,Cream,,,,20.9375,11,,,,,,,Free,,24LBS,,,,,Class A,,,No
"A,H",Lincrusta,2-3 weeks,Specialty,Textured,Lincrusta,Linenfold,RD1827,Linenfold,Master,RD1827,The softly pleated appearance of Linenfold gives this design a highly tactile quality that allows you to add both unique style and a sense of warmth and comfort to any interior space of any size.,"embossed, emboss, texture, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1827_Linenfold_LINENFOLD.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1827_Linenfold_LINENFOLD_install.jpg,399.99,Roll,1,1,Textural,Cream,,,,20.875,11,,,,,,,Free,,24LBS,,,,,Class A,,,No
"A,H",Lincrusta,2-3 weeks,Specialty,Textured,Lincrusta,Sea Grass Matting,RD1843,Sea Grass Matting,Master,RD1843,"So often found in flooring, you can now use the ordered, organic style of natural seagrass matting to make a real statement on your walls. Such a versatile design, create a feature or add it throughout the whole room.","embossed, emboss, texture, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1843_Sea_Grass_Matting_SEAGRASSMATTING.jpg,,399.99,Roll,1,1,"Textural, Faux Finish",Cream,,,,21.0625,11,,,,,10.5,,Straight,,24LBS,,,,,Class A,,,No
"A,H",Lincrusta,2-3 weeks,Specialty,Textured,Lincrusta,Cordage,RD1860,Cordage,Master,RD1860,"The depth of emboss in our designs allows for an extremely detailed finish, which is demonstrated to great effect in this particular design. Each individual twist in every corded strand is so clearly defined.","embossed, emboss, texture, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1860_Cordage_CORDAGE.jpg,,399.99,Roll,1,1,Textural,Cream,,,,20.9375,11,,,,,21,,Straight,,24LBS,,,,,Class A,,,No
"A,H",Lincrusta,2-3 weeks,Specialty,Textured,Lincrusta,Caprice,RD1873,Caprice,Master,RD1873,"Caprice suggests a sense of impulsiveness; of sudden movement and driving energy. These qualities are very much evident in the dynamic detailing that gives this design a highly unique, very vibrant feel.","embossed, emboss, texture, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1873_Caprice_CAPRICE.jpg,,399.99,Roll,1,1,"Textural, Contemporary",Cream,,,,21.0625,11,,,,,10.25,,Offset,,24,,,,,Class A,,,No
"A,H",Lincrusta,2-3 weeks,Specialty,Textured,Lincrusta,Sophia,RD1888,Sophia,Master,RD1888,Every stylised leaf and petal is part of a much grander picture that gives this richly textured design the type of lushness and luxury that was so loved by the Victorians and that is still as appealing today.,"embossed, emboss, texture, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1888_Sophia_SOPHIA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lincrusta/RD1888_Sophia_SOPHIA_install.jpg,399.99,Roll,1,1,"Textural, Traditional",Cream,,,,21,11,,,,,10.5,,Straight,,24,,,,,Class A,,,No
