websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Astek,Digital,Featured Designers,Llew Mejia,Bouquet Damask,LM100,Cream,Color Way,LM100-1,,"flower, floral, charming, illustration",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM100-1_Bouquet_Damask_CREAM.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative","Neutral, Multi",Paper,,,,,,,,24.8,11.8,Straight,49.6,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Bouquet Damask,LM100,Dark,Color Way,LM100-2,,"flower, floral, charming, illustration",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM100-2_Bouquet_Damask_DARK.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative","Multi, Grey",Paper,,,,,,,,24.8,11.8,Straight,49.6,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Cathedral Bells,LM101,Cathedral Bells,Master,LM101-1,,"flower, stylized, colorful, illustration",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM101-1_Cathedral_Bells_CATHEDRALBELLS.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative",Multi,Paper,,,,,,,,20,20,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Garden of Eden,LM102,Garden of Eden,Master,LM102-1,,"charming, tree, snake, stylized, illustration",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM102-1_Garden_of_Eden_GARDENOFEDEN.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative, Animalia",Multi,Paper,,,,,,,,20,11.3,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Jaguars in Brush,LM103,Day,Color Way,LM103-1,,"illustration, leopard, jungle, leaves",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM103-1_Jaguars_in_Brush_DAY.jpg,,6.50,Square Foot,1,1,"Tropical, Botanical, Animalia, Illustrative","Multi, Green",Paper,,,,,,,,10,12.9,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Jaguars in Brush,LM103,Night,Color Way,LM103-2,,"illustration, leopard, jungle, leaves",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM103-2_Jaguars_in_Brush_NIGHT.jpg,,6.50,Square Foot,1,1,"Tropical, Botanical, Animalia, Illustrative","Green, Multi",Paper,,,,,,,,10,12.9,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Jungles of Mexico,LM104,Jungles of Mexico,Master,LM104-1,,"illustration, leopard, jungle, colorful, stylized",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM104-1_Jungles_of_Mexico_JUNGLESOFMEXICO.jpg,,6.50,Square Foot,1,1,"Tropical, Botanical, Animalia, Illustrative",Multi,Paper,,,,,,,,20,12.5,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Pájaros,LM105,Dark,Color Way,LM105-1,,"flower, floral, charming, illustration, silhouette, bird, birds",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM105-1_Pajaros_DARK.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative, Animalia",Neutral,Paper,,,,,,,,10,10,straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Pájaros,LM105,Green,Color Way,LM105-2,,"flower, floral, charming, illustration, silhouette, bird, birds",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM105-2_Pajaros_GREEN.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative, Animalia",Green,Paper,,,,,,,,10,10,straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Pájaros,LM105,Pink,Color Way,LM105-3,,"flower, floral, charming, illustration, silhouette, bird, birds",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM105-3_Pajaros_PINK.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative, Animalia",Pink,Paper,,,,,,,,10,10,straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Pineapple,LM106,Pineapple,Master,LM106-1,,"flower, pineapple, charming, illustration, colorful",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM106-1_Pineapple_PINEAPPLE.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative, Tropical",Multi,Paper,,,,,,,,20,18.3,straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Undergrowth,LM107,Undergrowth,Master,LM107-1,,"charming, whimsy, colorful, plants, illustration",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM107-1_Undergrowth_UNDERGROWTH.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative, Tropical",Multi,Paper,,,,,,,,20,12.9,straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Wild Growth,LM108,Dark,Color Way,LM108-1,,"charming, whimsy, illustration, plants",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM108-1_Wild_Growth_DARK.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative","Black, Grey",Paper,,,,,,,,20,20,straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Wild Growth,LM108,Grey,Color Way,LM108-2,,"charming, whimsy, illustration, plants",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM108-2_Wild_Growth_GREY.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative","Grey, Neutral",Paper,,,,,,,,20,20,straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Featured Designers,Llew Mejia,Wild Growth,LM108,Poppy,Color Way,LM108-3,,"charming, whimsy, illustration, plants",https://s3-us-west-2.amazonaws.com/astek-product-images/Llew_Mejia/LM108-3_Wild_Growth_POPPY.jpg,,6.50,Square Foot,1,1,"Botanical, Illustrative",Green,Paper,,,,,,,,20,20,straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
