websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Marbles,Parma,AD494,Parma,Master,AD494,,"stone, mineral, luxe, slab ",https://s3-us-west-2.amazonaws.com/astek-product-images/Marbles/AD494_Parma_PARMA.jpg,,7.00,Square Foot,1,1,Faux Finish,Black and White,Matte Vinyl,,,,,,,,52,96,,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Marbles,Tivoli,AD495,Tivoli,Master,AD495,,"stone, mineral, luxe, slab ",https://s3-us-west-2.amazonaws.com/astek-product-images/Marbles/AD495_Tivoli_TIVOLI.jpg,,7.00,Square Foot,1,1,Faux Finish,Grey,Matte Vinyl,,,,,,,,52,96,,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Marbles,Carrara,AD496,Carrara,Master,AD496,,"stone, mineral, luxe, slab ",https://s3-us-west-2.amazonaws.com/astek-product-images/Marbles/AD496_Carrara_CARRARA.jpg,,7.00,Square Foot,1,1,Faux Finish,Black,Matte Vinyl,,,,,,,,52,96,,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Marbles,Asti,AD497,Asti,Master,AD497,,"stone, mineral, luxe, slab ",https://s3-us-west-2.amazonaws.com/astek-product-images/Marbles/AD497_Asti_ASTI.jpg,,7.00,Square Foot,1,1,Faux Finish,Black and White,Matte Vinyl,,,,,,,,52,96,,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Marbles,Trieste,AD498,Trieste,Master,AD498,,"stone, mineral, luxe, slab ",https://s3-us-west-2.amazonaws.com/astek-product-images/Marbles/AD498_Trieste_TRIESTE.jpg,,7.00,Square Foot,1,1,Faux Finish,Black and White,Matte Vinyl,,,,,,,,52,96,,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Marbles,Siena,AD499,Siena,Master,AD499,,"stone, mineral, luxe, slab ",https://s3-us-west-2.amazonaws.com/astek-product-images/Marbles/AD499_Siena_SIENA.jpg,,7.00,Square Foot,1,1,Faux Finish,Brown,Matte Vinyl,,,,,,,,52,96,,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Marbles,San Severo,AD500,San Severo,Master,AD500,,"stone, mineral, luxe, slab ",https://s3-us-west-2.amazonaws.com/astek-product-images/Marbles/AD500_San_Severo_SANSEVERO.jpg,,7.00,Square Foot,1,1,Faux Finish,Black and White,Matte Vinyl,,,,,,,,52,96,,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Marbles,Prato,AD501,Prato,Master,AD501,,"stone, mineral, luxe, slab ",https://s3-us-west-2.amazonaws.com/astek-product-images/Marbles/AD501_Prato_PRATO.jpg,,7.00,Square Foot,1,1,Faux Finish,Brown,Matte Vinyl,,,,,,,,52,96,,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Marbles,Aversa,AD502,Aversa,Master,AD502,,"stone, mineral, luxe, slab ",https://s3-us-west-2.amazonaws.com/astek-product-images/Marbles/AD502_Aversa_AVERSA.jpg,,7.00,Square Foot,1,1,Faux Finish,Purple,Matte Vinyl,,,,,,,,37.5,33.5,,37.5,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Marbles,Lecce,AD503,Lecce,Master,AD503,,"stone, mineral, luxe, slab ",https://s3-us-west-2.amazonaws.com/astek-product-images/Marbles/AD503_Lecce_LECCE.jpg,,7.00,Square Foot,1,1,Faux Finish,Green,Matte Vinyl,,,,,,,,52,96,,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
