websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI601,MI601,MI601,Master,MI601,,"gold leaf, shine, sheen, metal, luxe, luxury, fine, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI601_MI601_MI601.jpg,,59.50,Yard,1,4,"Textural, Contemporary",Gold,,Paper,36,55,,,,,,,Random,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI602,MI602,MI602,Master,MI602,,"gold leaf, shine, sheen, metal, luxe, luxury, fine, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI602_MI602_MI602.jpg,,59.50,Yard,1,4,"Textural, Contemporary",Neutral,,Paper,36,55,,,,,,,Random,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI603,MI603,MI603,Master,MI603,,"gold leaf, shine, sheen, metal, luxe, luxury, fine, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI603_MI603_MI603.jpg,,59.50,Yard,1,4,"Textural, Contemporary",Neutral,,Paper,54,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI604,MI604,MI604,Master,MI604,,"gold leaf, shine, sheen, metal, luxe, luxury, fine, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI604_MI604_MI604.jpg,,26.90,Yard,1,4,"Textural, Contemporary","Silver, Beige",,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI605,MI605,MI605,Master,MI605,,"gold leaf, shine, sheen, metal, luxe, luxury, fine, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI605_MI605_MI605.jpg,,26.90,Yard,1,4,"Textural, Contemporary",Gold,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI606,MI606,MI606,Master,MI606,,"gold leaf, shine, sheen, metal, luxe, luxury, fine, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI606_MI606_MI606.jpg,,49.00,Yard,1,4,"Textural, Contemporary",Gold,,Paper,54,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI607,MI607,MI607,Master,MI607,,"gold leaf, shine, sheen, metal, luxe, luxury, fine, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI607_MI607_MI607.jpg,,36.85,Yard,1,4,"Textural, Contemporary",Gold,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI608,MI608,MI608,Master,MI608,,"gold leaf, shine, sheen, metal, luxe, luxury, fine, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI608_MI608_MI608.jpg,,46.90,Yard,1,4,"Textural, Contemporary",Gold,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI609,MI609,MI609,Master,MI609,,"gold leaf, shine, sheen, metal, luxe, luxury, fine, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI609_MI609_MI609.jpg,,55.00,Yard,1,4,"Textural, Contemporary",Silver,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI610,MI610,MI610,Master,MI610,,"sequin, sparkle, glitter, gliz",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI610_MI610_MI610.jpg,,57.25,Roll,1,1,"Textural, Contemporary",White,,Paper,36,11,,,,,,,Straight,,66,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI611,MI611,MI611,Master,MI611,,"sequin, sparkle, glitter, gliz",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI611_MI611_MI611.jpg,,57.25,Roll,1,1,"Textural, Contemporary",Black,,Paper,36,11,,,,,,,Straight,,66,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI612,MI612,MI612,Master,MI612,,"sequin, sparkle, glitter, gliz",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI612_MI612_MI612.jpg,,57.25,Roll,1,1,"Textural, Contemporary",Silver,,Paper,36,11,,,,,,,Straight,,66,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI613,MI613,MI613,Master,MI613,,"sequin, sparkle, glitter, gliz",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI613_MI613_MI613.jpg,,57.25,Roll,1,1,"Textural, Contemporary",Silver,,Paper,36,11,,,,,,,Straight,,66,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI614,MI614,MI614,Master,MI614,,"sequin, sparkle, glitter, gliz",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI614_MI614_MI614.jpg,,57.25,Roll,1,1,"Textural, Contemporary",Gold,,Paper,36,11,,,,,,,Straight,,66,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI615,MI615,MI615,Master,MI615,,"sequin, sparkle, glitter, gliz",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI615_MI615_MI615.jpg,,57.25,Roll,1,1,"Textural, Contemporary",Pink,,Paper,36,11,,,,,,,Straight,,66,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI616,MI616,MI616,Master,MI616,,"holographic, holograph, mirrored, hologram, disco",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI616_MI616_MI616.jpg,,42.00,Yard,1,4,"Textural, Contemporary",Silver,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI617,MI617,MI617,Master,MI617,,"shiny, luxe, luxury, opulent",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI617_MI617_MI617.jpg,,52.00,Yard,1,4,"Textural, Contemporary",Silver,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI618,MI618,MI618,Master,MI618,,"quilted, diamond, upholstered, harlequin, tufted",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI618_MI618_MI618.jpg,,25.90,Yard,1,4,"Textural, Contemporary",Black,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI619,MI619,MI619,Master,MI619,,"quilted, diamond, upholstered, harlequin, tufted",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI619_MI619_MI619.jpg,,25.90,Yard,1,4,"Textural, Contemporary",Pink,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI620,MI620,MI620,Master,MI620,,"quilted, diamond, upholstered, harlequin, tufted",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI620_MI620_MI620.jpg,,25.90,Yard,1,4,"Textural, Contemporary",Purple,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI621,MI621,MI621,Master,MI621,,"moire, striated, strie, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI621_MI621_MI621.jpg,,25.90,Yard,1,4,"Textural, Contemporary","Gold, Red",,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI622,MI622,MI622,Master,MI622,,"moire, striated, strie, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI622_MI622_MI622.jpg,,25.90,Yard,1,4,"Textural, Contemporary","Grey, Silver",,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI623,MI623,MI623,Master,MI623,,"holographic, holograph, mirrored, hologram, disco",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI623_MI623_MI623.jpg,,27.90,Yard,1,4,"Textural, Contemporary",Silver,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI624,MI624,MI624,Master,MI624,,"holographic, holograph, mirrored, hologram, disco",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI624_MI624_MI624.jpg,,27.90,Yard,1,4,"Textural, Contemporary",Bronze,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI625,MI625,MI625,Master,MI625,,"mirrored, shine, sheen, shiny, metal",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI625_MI625_MI625.jpg,,27.90,Yard,1,4,"Textural, Contemporary",Silver,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI626,MI626,MI626,Master,MI626,,"mirrored, shine, sheen, shiny, metal",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI626_MI626_MI626.jpg,,27.90,Yard,1,4,"Textural, Contemporary",Silver,,Paper,36,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,Metallic,Metallic Illusions V,MI627,MI627,MI627,Master,MI627,,"silver foil, mirrored, foil, mirror, shine, shiny, sheen, mylar",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI627_MI627_MI627.jpg,,34.90,Yard,1,10,"Textural, Contemporary",Silver,,Paper,54,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,Metallic,Metallic Illusions V,MI628,MI628,MI628,Master,MI628,,"gold foil, mirrored, foil, mirror, shine, shiny, sheen, mylar",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI628_MI628_MI628.jpg,,34.90,Yard,1,10,"Textural, Contemporary",Gold,,Paper,54,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,Metallic,Metallic Illusions V,MI629,MI629,MI629,Master,MI629,,"copper foil, mirrored, foil, mirror, shine, shiny, sheen, mylar",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI629_MI629_MI629.jpg,,34.90,Yard,1,10,"Textural, Contemporary",Bronze,,Paper,54,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,Metallic,Metallic Illusions V,MI630,MI630,MI630,Master,MI630,,"black, mirrored, foil, mirror, shine, shiny, sheen, mylar",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI630_MI630_MI630.jpg,,34.90,Yard,1,10,"Textural, Contemporary",Black,,Paper,54,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
"A,H",Astek,3-6 weeks,Specialty,"Metallic, Textured",Metallic Illusions V,MI631,MI631,MI631,Master,MI631,,"silver foil, mirrored, foil, mirror, shine, shiny, sheen, mylar, weave",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_Illusions_V/MI631_MI631_MI631.jpg,,34.90,Yard,1,10,"Textural, Contemporary",Silver,,Paper,54,55,,,,,,,Straight,,6,Paste the Paper,Strippable,light vacuum,Moderate,Class A,,Untrimmed,No
