websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-301,LL-301,LL-301,Master,LL-301,,"shine, sheen, shiny, mylar, foil, brick, tile, basket, basketweave, mosaic",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-301.jpg,,34.05,Yard,1,10,Textural,Gold,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-302,LL-302,LL-302,Master,LL-302,,"shine, sheen, shiny, mylar, foil, brick, tile, basket, basketweave, mosaic",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-302.jpg,,34.05,Yard,1,10,Textural,Silver,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-303,LL-303,LL-303,Master,LL-303,,"shine, sheen, shiny, mylar, foil, brick, tile, basket, basketweave, mosaic",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-303.jpg,,34.05,Yard,1,10,Textural,Silver,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-304,LL-304,LL-304,Master,LL-304,,"shine, sheen, shiny, mylar, foil, brick, tile, basket, basketweave, mosaic",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-304.jpg,,34.05,Yard,1,10,Textural,Silver,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-305,LL-305,LL-305,Master,LL-305,,"shine, sheen, shiny, mylar, foil, brick, tile, basket, basketweave, mosaic",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-305.jpg,,34.05,Yard,1,10,Textural,Bronze,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-306,LL-306,LL-306,Master,LL-306,,"shine, sheen, shiny, mylar, foil, embossed, starburst",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-306.jpg,,34.05,Yard,1,10,Textural,Gold,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-307,LL-307,LL-307,Master,LL-307,,"shine, sheen, shiny, mylar, foil, embossed, starburst",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-307.jpg,,34.05,Yard,1,10,Textural,Silver,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-308,LL-308,LL-308,Master,LL-308,,"shine, sheen, shiny, mylar, foil, embossed, starburst",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-308.jpg,,34.05,Yard,1,10,Textural,Gold,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-309,LL-309,LL-309,Master,LL-309,,"shine, sheen, shiny, mylar, foil, embossed, starburst",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-309.jpg,,34.05,Yard,1,10,Textural,Bronze,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-310,LL-310,LL-310,Master,LL-310,,"shine, sheen, shiny, mylar, foil, embossed, starburst",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-310.jpg,,34.05,Yard,1,10,Textural,Bronze,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-311,LL-311,LL-311,Master,LL-311,,"shine, sheen, shiny, mylar, foil, fiber, weave, woven",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-311.jpg,,34.05,Yard,1,10,Textural,Gold,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-312,LL-312,LL-312,Master,LL-312,,"shine, sheen, shiny, mylar, foil, fiber, weave, woven",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-312.jpg,,34.05,Yard,1,10,Textural,Silver,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-313,LL-313,LL-313,Master,LL-313,,"shine, sheen, shiny, mylar, foil, fiber, weave, woven",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-313.jpg,,34.05,Yard,1,10,Textural,Gold,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-314,LL-314,LL-314,Master,LL-314,,"shine, sheen, shiny, mylar, foil, fiber, weave, woven",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-314.jpg,,34.05,Yard,1,10,Textural,Bronze,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Textured, Metallic",Metallic World II,LL-315,LL-315,LL-315,Master,LL-315,,"shine, sheen, shiny, mylar, foil, fiber, weave, woven",https://s3-us-west-2.amazonaws.com/astek-product-images/Metallic_World_II/LL-315.jpg,,34.05,Yard,1,10,Textural,Bronze,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Strippable,Spongeable,Good,CCC-W-408,,,No
