websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Apparition,AD365,Cumulus,Color Way,AD365-1,,"biological,scientific,abstract,microscopic,galaxy, ethereal, textural, soft",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD365-1_Apparition_CUMULUS.jpg,,7.50,Square Foot,1,1,"Contemporary, Abstract","Off-White, Blue",White Mylar,,,,200,70,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Apparition,AD365,Ethereal,Color Way,AD365-2,,"biological,scientific,abstract,microscopic,galaxy, ethereal, textural, soft",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD365-2_Apparition_ETHEREAL.jpg,,7.50,Square Foot,1,1,"Contemporary, Abstract",Pink,White Mylar,,,,200,70,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Apparition,AD365,Figment,Color Way,AD365-3,,"biological,scientific,abstract,microscopic,galaxy, ethereal, textural, soft",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD365-3_Apparition_FIGMENT.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD365-3_Apparition_FIGMENT_install.jpg,7.50,Square Foot,1,1,"Contemporary, Abstract","Green,Blue,Purple,",White Mylar,,,,200,70,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Cestoda,AD366,Entanglement,Color Way,AD366-1,,"biological,scientific,abstract,microscopic, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD366-1_Cestoda_ENTANGLEMENT.jpg,,7.00,Square Foot,1,1,"Contemporary, Abstract","Green, Blue",Fiji,,,,144,109,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Cestoda,AD366,Ore,Color Way,AD366-2,,"biological,scientific,abstract,microscopic, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD366-2_Cestoda_ORE.jpg,,7.00,Square Foot,1,1,"Contemporary, Abstract",Black and White,Fiji,,,,144,109,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Cestoda,AD366,Skein,Color Way,AD366-3,,"biological,scientific,abstract,microscopic, nature",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD366-3_Cestoda_SKEIN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD366-3_Cestoda_SKEIN_install.jpg,7.00,Square Foot,1,1,"Contemporary, Abstract","Neutral, Grey",Fiji,,,,144,109,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Lumen,AD367,Ash,Color Way,AD367-1,,"biological,scientific,abstract,microscopic,galaxy, ethereal, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD367-1_Lumen_ASH.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD367-1_Lumen_ASH_install.jpg,7.50,Square Foot,1,1,"Contemporary, Abstract",Neutral,Silver Spectre,,,,148.96,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Lumen,AD367,Nova,Color Way,AD367-2,,"biological,scientific,abstract,microscopic,galaxy, ethereal, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD367-2_Lumen_NOVA.jpg,,7.50,Square Foot,1,1,"Contemporary, Abstract","Green, Off-White",Silver Spectre,,,,148.96,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Lumen,AD367,Quasar,Color Way,AD367-3,,"biological,scientific,abstract,microscopic,galaxy, ethereal, textural",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD367-3_Lumen_QUASAR.jpg,,7.50,Square Foot,1,1,"Contemporary, Abstract",Black and White,Silver Spectre,,,,148.96,96,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Parazoa,AD368,Calcified,Color Way,AD368-1,,"biological,scientific,abstract,microscopic",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD368-1_Parazoa_CALCIFIED.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD368-1_Parazoa_CALCIFIED_install.jpg,7.00,Square Foot,1,1,"Contemporary, Abstract",Grey,Fiji,,,,52,112,,,,,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Parazoa,AD368,Marrow,Color Way,AD368-2,,"biological,scientific,abstract,microscopic",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD368-2_Parazoa_MARROW.jpg,,7.00,Square Foot,1,1,"Contemporary, Abstract",Grey,Fiji,,,,52,112,,,,,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Micrographia,Parazoa,AD368,Sediment,Color Way,AD368-3,,"biological,scientific,abstract,microscopic",https://s3-us-west-2.amazonaws.com/astek-product-images/Micrographia/AD368-3_Parazoa_SEDIMENT.jpg,,7.00,Square Foot,1,1,"Contemporary, Abstract",Black,Fiji,,,,52,112,,,,,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
