websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM001,MLM001,MLM001,Master,MLM001,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM001_web.jpg,,30.99,Yard,1,8,Textural,Silver,,Paper,36,8,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM002,MLM002,MLM002,Master,MLM002,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM002_web.jpg,,30.99,Yard,1,8,Textural,"Black, Silver",,Paper,36,8,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM003,MLM003,MLM003,Master,MLM003,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM003_web.jpg,,30.99,Yard,1,8,Textural,White,,Paper,36,8,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM004,MLM004,MLM004,Master,MLM004,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM004_web.jpg,,30.99,Yard,1,11,Textural,Off-White,,Paper,36,11,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM005,MLM005,MLM005,Master,MLM005,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM005_web.jpg,,30.99,Yard,1,8,Textural,"Neutral, Silver",,Paper,36,8,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM006,MLM006,MLM006,Master,MLM006,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM006_web.jpg,,30.99,Yard,1,8,Textural,Silver,,Paper,36,8,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM007,MLM007,MLM007,Master,MLM007,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM007_web.jpg,,34.78,Yard,1,11,Textural,"Beige, Silver",,Paper,36,11,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM008,MLM008,MLM008,Master,MLM008,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM008_web.jpg,,34.78,Yard,1,8,Textural,"Black, ",,Paper,36,8,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM009,MLM009,MLM009,Master,MLM009,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM009_web.jpg,,34.78,Yard,1,8,Textural,Bronze,,Paper,36,8,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM010,MLM010,MLM010,Master,MLM010,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM010_web.jpg,,34.78,Yard,1,8,Textural,Brown,,Paper,36,8,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM011,MLM011,MLM011,Master,MLM011,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM011_web.jpg,,30.99,Yard,1,8,Textural,"Black, Brown",,Paper,36,8,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
"A,H",P&W,3-6 weeks,Naturals,Mica,Moonlit Mica,MLM012,MLM012,MLM012,Master,MLM012,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Moonlit_Mica/MLM012_web.jpg,,30.99,Yard,1,8,Textural,"Blue, Silver",,Paper,36,8,,,,,,,,,9,,,,,Class A,,Pre-Trimmed,No
