websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Panoramic Images,Digital,Murals,National Parks,Joshua Tree National Park,100000,Joshua Tree National Park,Master,100000,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, Wispy White Clouds, Usa, Arid, Beauty In Nature, Boulder, Cactus, California, Cloud, Countryside, Day, Desert, Environment, Geology, Growing, Hill, Joshua Tree, Joshua Tree National Park, Landscape, National Park, Nature, Nobody, Outdoors, Persistence, Remote, Rock Formation, Rural Scene, Scenic View, Shadow, Travel, Travel Destinations, Tree, United States, Wilderness",https://s3-us-west-2.amazonaws.com/astek-product-images/National_Parks/100000_Joshua_Tree_National_Park_JOSHUATREENATIONALPARK.jpg,,6.5,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,National Parks,"Mount McKinley, Denali National Park",109858,"Mount McKinley, Denali National Park",Master,109858,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Alaska, Alaska Range, beauty in nature, blooming, calm, cloud, color image, countryside, day, Denali National Park, environment, Epilobium latifolium, field, fireweed, flower, high angle view, lake, landscape, majestic, Mount McKinley, mountain, Mt McKinley, Mt. McKinley, National Park, nature, nobody, outdoors, peace, picturesque, remote, rugged, rural scene, scenic view, snowcapped, spring, summer, sunny, tranquil scene, united states",https://s3-us-west-2.amazonaws.com/astek-product-images/National_Parks/109858_Mount_McKinley_Denali_National_Park_MOUNTMCKINLEYDENALINATIONALPARK.jpg,,6.5,Square Foot,1,1,Photographic,"Green, Multi",Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,National Parks,Muir Woods National Monument,111782,Muir Woods National Monument,Master,111782,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, California, Famous Place, Forest, Marin County, Muir Woods National Monument, National Monument, National Park, Nature, Non-Urban Scene, Scenics, Sequoia, Sequoia Sempervirens, Tall, Travel Destinations, Tree, USA, Woods, Color Image, Day, Directly Below, No People, Outdoors, Redwood, North America",https://s3-us-west-2.amazonaws.com/astek-product-images/National_Parks/111782_Muir_Woods_National_Monument_MUIRWOODSNATIONALMONUMENT.jpg,,6.5,Square Foot,1,1,Photographic,Green,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,National Parks,"Grand Prismatic Spring, Yellowstone National Park",116860,"Grand Prismatic Spring, Yellowstone National Park",Master,116860,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Famous Place, Geology, Geyser, Grand Prismatic Spring, Heat, Hot Spring, Midway Geyser Basin, National Landmark, National Park, Natural Landmark, Natural Phenomenon, Nature, Physical Geography, Scenics, Travel Destinations, USA, Wyoming, Yellowstone National Park, Aerial View, Beauty In Nature, Color Image, Day, Geographical Locations, No People, Non-Urban Scene, Outdoors, Series, Hot, Psychedelic, Eye",https://s3-us-west-2.amazonaws.com/astek-product-images/National_Parks/116860_Grand_Prismatic_Spring_Yellowstone_National_Park_GRANDPRISMATICSPRINGYELLOWSTONENATIONALPARK.jpg,,6.5,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,National Parks,"Geothermal Energy, Yellowstone National Park",118792,"Geothermal Energy, Yellowstone National Park",Master,118792,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Backgrounds, Color Image, Day, Energy, Full Frame, Geology, Geyser, Green, Hot Spring, National Park, Natural Landmark, Natural Pattern, Natural Phenomenon, Nature, No People, Outdoors, Rock, Rock Formation, Scenics, Travel Destinations, USA, Wyoming, Yellowstone National Park, Geothermal, Physical Geography",https://s3-us-west-2.amazonaws.com/astek-product-images/National_Parks/118792_Geothermal_Energy_Yellowstone_National_Park_GEOTHERMALENERGYYELLOWSTONENATIONALPARK.jpg,,6.5,Square Foot,1,1,Photographic,"Green, Multi",Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,National Parks,"Reflection Lake, Mt Rainier National Park",119053,"Reflection Lake, Mt Rainier National Park",Master,119053,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, Beauty In Nature, Color Image, Day, Flower, Forest, Idyllic, Lake, Morning, Mountain, Mountain Peak, Mt Rainier, Mt Rainier National Park, National Park, Natural Landmark, Nature, No People, Non-Urban Scene, Outdoors, Panoramic, Peacefulness, Physical Geography, Pierce County, Plant, Reflection, Reflection Lake, Remote, Scenics, Sky, Snow, Snowcapped, The Natural World, Travel Destinations, Tree, USA, Washington State, Water, Wildflower, Serenity, Tranquility, Tranquil Scene, Calm, Peaceful",https://s3-us-west-2.amazonaws.com/astek-product-images/National_Parks/119053_Reflection_Lake_Mt_Rainier_National_Park_REFLECTIONLAKEMTRAINIERNATIONALPARK.jpg,,6.5,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,National Parks,Joshua Tree National Monument,120863,Joshua Tree National Monument,Master,120863,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Beauty In Nature, Blooming, California, Cloud, Color Image, Day, Distant, Famous Place, Fragility, Growth, Horizon, Joshua Tree National Monument, National Monument, Landscape, National Landmark, No People, Non-Urban Scene, Outdoors, San Bernardino County, Scenics, Sky, Spring, Tranquil Scene, Travel Destinations, Twenty Nine Palms, Uncultivated, USA, Wildflower, Yellow",https://s3-us-west-2.amazonaws.com/astek-product-images/National_Parks/120863_Joshua_Tree_National_Monument_JOSHUATREENATIONALMONUMENT.jpg,,6.5,Square Foot,1,1,Photographic,"Yellow, Multi",Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,National Parks,Forest in Redwood National Park,121482,Forest in Redwood National Park,Master,121482,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, California, Color Image, Day, Del Norte County, Famous Place, Forest, Green, National Landmark, Nature, No People, Non-Urban Scene, Outdoors, Redwood, Redwood National Park, National Park, Scenics, Tranquil Scene, Travel Destinations, Tree Trunk, USA",https://s3-us-west-2.amazonaws.com/astek-product-images/National_Parks/121482_Forest_in_Redwood_National_Park_FORESTINREDWOODNATIONALPARK.jpg,,6.5,Square Foot,1,1,Photographic,Green,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,National Parks,"Oxbow Bend, Snake River, Grand Teton National Park",121681,"Oxbow Bend, Snake River, Grand Teton National Park",Master,121681,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Beauty In Nature, Clear Sky, Color Image, Covering, Day, Forest, Generic Location, Grand Teton National Park, National Park, Idyllic, Majestic, Mountain Range, Nature, No People, Non-Urban Scene, Outdoors, Oxbow Bend, Physical Geography, Reflection, River, Scenics, Snake River, Snow, Symmetry, Tranquil Scene, Travel Destinations, Tree, USA, Water Surface, Wyoming",https://s3-us-west-2.amazonaws.com/astek-product-images/National_Parks/121681_Oxbow_Bend_Snake_River_Grand_Teton_National_Park_OXBOWBENDSNAKERIVERGRANDTETONNATIONALPARK.jpg,,6.5,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Panoramic Images,Digital,Murals,National Parks,Silhouette of Saguaro National Park,127389,Silhouette of Saguaro National Park,Master,127389,Scaled to fit your wall. Some cropping may occur.,"Photography, Horizontal, panoramic, panorama, Arizona, Beauty In Nature, Carnegiea Gigantea, Cloud, Color Image, Desert, Landscape, Majestic, National Park, No People, Non-Urban Scene, Outdoors, Pima County, Saguaro Cactus, Saguaro National Park, Silhouette, Sky, Sunset, Tranquil Scene, Travel Destinations, Tucson, Uncultivated, USA",https://s3-us-west-2.amazonaws.com/astek-product-images/National_Parks/127389_Silhouette_of_Saguaro_National_Park_SILHOUETTEOFSAGUARONATIONALPARK.jpg,,6.5,Square Foot,1,1,Photographic,Multi,Paper,,,,,,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
