websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Natsukashii,Aiko,AD121,Aiko,Master,AD121-1,,"shibori, dyeing, textile, japanese, fabric, tie dye",https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD121-1_AIKO.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD121-1_AIKO_install.jpg,7.00,Square Foot,1,1,"Contemporary, Abstract",Blue,Spectre,,,,,,,,52,50.715,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Natsukashii,Hibiki,AD122,Hibiki,Master,AD122-1,,"shibori, dyeing, textile, japanese, fabric, tie dye",https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD122-1_HIBIKI.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD122-1_HIBIKI_install.jpg,7.00,Square Foot,1,1,"Contemporary, Abstract",Blue,Spectre,,,,,,,,52,49.755,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Natsukashii,Hikari,AD123,Hikari,Master,AD123-1,,"shibori, dyeing, textile, japanese, fabric, tie dye",https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD123-1_HIKARI.jpg,"https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD123-1_HIKARI_install.jpg, https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD123-1_HIKARI_install_2.jpg",7.00,Square Foot,1,1,"Contemporary, Abstract",Blue,Spectre,,,,,,,,52,59.575,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Natsukashii,Kagami,AD124,Kagami,Master,AD124-1,,"shibori, dyeing, textile, japanese, fabric, tie dye",https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD124-1_KAGAMI.jpg,,7.00,Square Foot,1,1,"Contemporary, Abstract",Blue,Spectre,,,,,,,,52,52.14,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Natsukashii,Kokoro,AD125,Kokoro,Master,AD125-1,,"shibori, dyeing, textile, japanese, fabric, tie dye",https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD125-1_KOKORO.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD125-1_KOKORO_install.jpg,7.00,Square Foot,1,1,"Contemporary, Abstract",Blue,Spectre,,,,,,,,52,49.915,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Natsukashii,Maruko,AD126,Maruko,Master,AD126-1,,"shibori, dyeing, textile, japanese, fabric, tie dye",https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD126-1_MARUKO.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD126-1_MARUKO_install.jpg,7.00,Square Foot,1,1,"Contemporary, Abstract",Blue,Spectre,,,,,,,,52,54.455,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Natsukashii,Mirai,AD127,Mirai,Master,AD127-1,,"shibori, dyeing, textile, japanese, fabric, tie dye",https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD127-1_MIRAI.jpg,"https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD127-1_MIRAI_install.jpg, https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD127-1_MIRAI_install_2.jpg",7.00,Square Foot,1,1,"Contemporary, Abstract",Blue,Spectre,,,,,,,,52,53.915,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Natsukashii,Nami,AD128,Nami,Master,AD128-1,,"shibori, dyeing, textile, japanese, fabric, tie dye",https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD128-1_NAMI.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD128-1_NAMI_install.jpg,7.00,Square Foot,1,1,"Contemporary, Abstract",Blue,Spectre,,,,,,,,52,50.56,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Natsukashii,Natsumi,AD129,Natsumi,Master,AD129-1,,"shibori, dyeing, textile, japanese, fabric, tie dye",https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD129-1_NATSUMI.jpg,"https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD129-1_NATSUMI_install.jpg, https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD129-1_NATSUMI_install_2.jpg",7.00,Square Foot,1,1,"Contemporary, Abstract",Blue,Spectre,,,,,,,,52,54.385,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Natsukashii,Nozomi,AD130,Nozomi,Master,AD130-1,,"shibori, dyeing, textile, japanese, fabric, tie dye",https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD130-1_NOZOMI.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Natsukashii/AD130-1_NOZOMI_install.jpg,7.00,Square Foot,1,1,"Contemporary, Abstract","Blue, Pink",Spectre,,,,,,,,52,49.345,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
