websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP100,SP100,SP100,Master,SP100,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP100_web.jpg,,56.00,Tile,10,20,Textural,Gold,,Paper ,,,,,16,16,,,Straight,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP101,SP101,SP101,Master,SP101,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP101_web.jpg,,56.00,Tile,10,20,Textural,"White, Silver",,Paper ,,,,,16,16,,,Straight,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP102,SP102,SP102,Master,SP102,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP102_web.jpg,,56.00,Tile,10,20,Textural,Silver,,Paper ,,,,,16,16,,,Straight,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP103,SP103,SP103,Master,SP103,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP103_web.jpg,,56.00,Tile,10,20,Textural,Gold,,Paper ,,,,,16,16,,,Straight,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP104,SP104,SP104,Master,SP104,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP104_web.jpg,,56.00,Tile,10,20,Textural,"White, Silver",,Paper ,,,,,16,16,,,Straight,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP105,SP105,SP105,Master,SP105,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP105_web.jpg,,56.00,Tile,10,20,Textural,Silver,,Paper ,,,,,16,16,,,Straight,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP106,SP106,SP106,Master,SP106,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP106_web.jpg,,56.00,Tile,10,20,Textural,Gold,,Paper ,,,,,16,16,,,Random,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP107,SP107,SP107,Master,SP107,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP107_web.jpg,,56.00,Tile,10,20,Textural,"White, Silver",,Paper ,,,,,16,16,,,Random,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP108,SP108,SP108,Master,SP108,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP108_web.jpg,,56.00,Tile,10,20,Textural,Silver,,Paper ,,,,,16,16,,,Random,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP109,SP109,SP109,Master,SP109,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP109_web.jpg,,56.00,Tile,10,20,Textural,Gold,,Paper ,,,,,16,16,,,Random,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP110,SP110,SP110,Master,SP110,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP110_web.jpg,,56.00,Tile,10,20,Textural,"White, Silver",,Paper ,,,,,16,16,,,Random,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP111,SP111,SP111,Master,SP111,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP111_web.jpg,,56.00,Tile,10,20,Textural,Silver,,Paper ,,,,,16,16,,,Random,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP112,SP112,SP112,Master,SP112,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP112_web.jpg,,56.00,Tile,10,20,Textural,Gold,,Paper ,,,,,16,16,,,Random,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP113,SP113,SP113,Master,SP113,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP113_web.jpg,,56.00,Tile,10,20,Textural,"White, Silver",,Paper ,,,,,16,16,,,Random,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP114,SP114,SP114,Master,SP114,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP114_web.jpg,,56.00,Tile,10,20,Textural,Silver,,Paper ,,,,,16,16,,,Random,,1,,Strippable,Spongeable,Good,Class A,,,No
A,Capiz Shells,6-8 weeks,Naturals,Textured,Pearls of South Asia,SP115,SP115,SP115,Master,SP115,,"mother of pearl, pearl, shell, capiz, tile, shine, shiny, sheen, luxe, luxury, opal, opalescent, seashell",https://s3-us-west-2.amazonaws.com/astek-product-images/Pearls_of_South_Asia/SP115_web.jpg,,56.00,Tile,10,20,Textural,Gold,,Paper ,,,,,16,16,,,Straight,,1,,Strippable,Spongeable,Good,Class A,,,No
