websites,vendor,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Plaid,Edinburgh,AD389,,Rustic,Color Way,AD389-1,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD389-1_Edinburgh_Rustic_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Brown, Beige, ",Monterey,,,,,,6.73,6.67,Straight,40.4,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaid,Edinburgh,AD389,,Yule,Color Way,AD389-2,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD389-2_Edinburgh_Yule_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Red, Pink",Monterey,,,,,,6.73,6.67,Straight,40.4,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaid,Edinburgh,AD389,,Snowfall,Color Way,AD389-3,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD389-3_Edinburgh_Snowfall_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Blue, Black",Monterey,,,,,,6.73,6.67,Straight,40.4,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaid,Aberdeen,AD390,,Field,Color Way,AD390-1,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD390-1_Aberdeen_Field_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Green, Cream",Monterey,,,,,,8.8,8.8,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaid,Aberdeen,AD390,,Rowan,Color Way,AD390-2,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD390-2_Aberdeen_Rowan_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Pink, Purple",Monterey,,,,,,8.8,8.8,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaid,Aberdeen,AD390,,Raven,Color Way,AD390-3,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD390-3_Aberdeen_Raven_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,Black and White,Monterey,,,,,,8.8,8.8,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaid,Glasglow,AD391,,Robin,Color Way,AD391-1,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD391-1_Glasgow_Robin_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Blue, Black",Monterey,,,,,,13.5,9,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaid,Glasglow,AD391,,Crimson,Color Way,AD391-2,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD391-2_Glasgow_Crimson_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Red, Black",Monterey,,,,,,13.5,9,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaid,Glasglow,AD391,,Stratus,Color Way,AD391-3,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD391-3_Glasgow_Stratus_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Black, Grey, Pink",Monterey,,,,,,13.5,9,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaid,Perth,AD392,,Morrison,Color Way,AD392-1,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD392-1_Perth_Morrison_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Pink, Red",Monterey,,,,,,9.6,12.3,Straight,48.33,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaid,Perth,AD392,,Hawthorne,Color Way,AD392-2,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaid/AD392-2_Perth_Hawthorne_web.jpg,7.00,Square Foot,1,1,Stripes + Plaid,Green,Monterey,,,,,,9.6,12.3,Straight,48.33,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
