websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Plaids,Edinburgh,AD389,Rustic,Color Way,AD389-1,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD389-1_Edinburgh_RUSTIC.jpg,,7.00,Square Foot,1,1,Stripes + Plaid,"Brown, Beige, ",Monterey,,,,,,,,6.73,6.67,Straight,40.4,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaids,Edinburgh,AD389,Yule,Color Way,AD389-2,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD389-2_Edinburgh_YULE.jpg,,7.00,Square Foot,1,1,Stripes + Plaid,"Red, Pink",Monterey,,,,,,,,6.73,6.67,Straight,40.4,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaids,Edinburgh,AD389,Snowfall,Color Way,AD389-3,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD389-3_Edinburgh_SNOWFALL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD389-3_Edinburgh_SNOWFALL_install.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Blue, Black",Monterey,,,,,,,,6.73,6.67,Straight,40.4,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaids,Aberdeen,AD390,Field,Color Way,AD390-1,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD390-1_Aberdeen_FIELD.jpg,,7.00,Square Foot,1,1,Stripes + Plaid,"Green, Cream",Monterey,,,,,,,,8.66,8.59,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaids,Aberdeen,AD390,Rowan,Color Way,AD390-2,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD390-2_Aberdeen_ROWAN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD390-2_Aberdeen_ROWAN_install.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Pink, Purple",Monterey,,,,,,,,8.66,8.59,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaids,Aberdeen,AD390,Raven,Color Way,AD390-3,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD390-3_Aberdeen_RAVEN.jpg,,7.00,Square Foot,1,1,Stripes + Plaid,Black and White,Monterey,,,,,,,,8.66,8.59,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaids,Glasglow,AD391,Robin,Color Way,AD391-1,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD391-1_Glasgow_ROBIN.jpg,,7.00,Square Foot,1,1,Stripes + Plaid,"Blue, Black",Monterey,,,,,,,,13.3,13.525,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaids,Glasglow,AD391,Crimson,Color Way,AD391-2,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD391-2_Glasgow_CRIMSON.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD391-2_Glasglow_CRIMSON_install.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Red, Black",Monterey,,,,,,,,13.3,13.525,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaids,Glasglow,AD391,Stratus,Color Way,AD391-3,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD391-3_Glasgow_STRATUS.jpg,,7.00,Square Foot,1,1,Stripes + Plaid,"Black, Grey, Pink",Monterey,,,,,,,,13.3,13.525,Straight,40,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaids,Perth,AD392,Morrison,Color Way,AD392-1,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD392-1_Perth_MORRISON.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD392-1_Perth_MORRISON_install.jpg,7.00,Square Foot,1,1,Stripes + Plaid,"Pink, Red",Monterey,,,,,,,,9.6,12.3,Straight,48.33,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Plaids,Perth,AD392,Hawthorne,Color Way,AD392-2,,"plaid, tartan, checks, checkered, checked, textile, criss cross",https://s3-us-west-2.amazonaws.com/astek-product-images/Plaids/AD392-2_Perth_HAWTHORNE.jpg,,7.00,Square Foot,1,1,Stripes + Plaid,Green,Monterey,,,,,,,,9.6,12.3,Straight,48.33,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
