websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Astek,Digital,Vintage,Pre-1920s,Pemberley,AV003,Pemberley,Master,AV003,,"damask, traditional, ornate, ornament, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Pre-1920s/AV003_Pemberley_PEMBERLEY.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Damask, Traditional","Green, Beige, Pink",Paper,,,,,,,,13,17.66,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,Pre-1920s,Alice,AV045,Alice,Master,AV045,,"flower, floral, flowers, damask, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Pre-1920s/AV045_Alice_ALICE.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Damask, Traditional","Brown, Off-White",Paper,,,,,,,,6.5,7,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,Pre-1920s,Minnie,AV047,Minnie,Master,AV047,,"floral, flower, flowers, fleur, filagree, flourish, ornate, ornamental",https://s3-us-west-2.amazonaws.com/astek-product-images/Pre-1920s/AV047_Minnie_MINNIE.jpg,,6.5,Square Foot,1,1,"Scenic + Toile, Retro + Vintage, Botanical","Blue, Multi",Paper,,,,,,,,17.33,12,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,Pre-1920s,Emma,AV048,Emma,Master,AV048,,"damask, traditional, ornate, ornament, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Pre-1920s/AV048_Emma_EMMA.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Damask, Traditional","Green, Pink, Cream",Paper,,,,,,,,26,24,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,Pre-1920s,Florence,AV049,Florence,Master,AV049,,"flower, flowers, floral, ornate, ornamental, flourish, fleur, filagree",https://s3-us-west-2.amazonaws.com/astek-product-images/Pre-1920s/AV049_Florence_FLORENCE.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Scenic + Toile, Damask, Traditional","Red, Beige",Paper,,,,,,,,17.33,20.7,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,Pre-1920s,Chateau,AV050,Chateau,Master,AV050,,"Lace, lacy, filagree, flourish, applique, embroidery, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Pre-1920s/AV050_Chateau_CHATEAU.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Traditional","Cream, Off-White",Paper,,,,,,,,10.4,10.67,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,Pre-1920s,Palais,AV051,Palais,Master,AV051,,"Lace, lacy, filagree, flourish, applique, embroidery, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Pre-1920s/AV051_Palais_PALAIS.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Traditional","Cream, Bronze",Paper,,,,,,,,17.33,14.86,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,Pre-1920s,Springfield,AV052,Springfield,Master,AV052,,"floral, flower, flowers, ornate, ornamental",https://s3-us-west-2.amazonaws.com/astek-product-images/Pre-1920s/AV052_Springfield_SPRINGFIELD.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Traditional, Damask",Blue,Paper,,,,,,,,26,24.45,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,Pre-1920s,Lincoln,AV053,Lincoln,Master,AV053,,"diamnd, fleur, crest, regal",https://s3-us-west-2.amazonaws.com/astek-product-images/Pre-1920s/AV053_Lincoln_LINCOLN.jpg,,6.5,Square Foot,1,1,"Retro + Vintage, Traditional","Green, Gold",Paper,,,,,,,,13,13,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,Pre-1920s,Victoria,AV054,Victoria,Master,AV054,,"ornate, ornament, flourish, floral, flower, flowers, brocade, baroque, victorian",https://s3-us-west-2.amazonaws.com/astek-product-images/Pre-1920s/AV054_Victoria_VICTORIA.jpg,,6.5,Square Foot,1,1,"Damask, Retro + Vintage, Traditional","Blue, White",Paper,,,,,,,,13,27,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
