websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30000,NH30000,,NH30000,Master,NH30000,,"steel, rust, patina, rivet, riveted, urban, metal, grunge, worn, tarnished",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30000_web.jpg,78.00,Roll,1,1,Faux Finish,"Silver, Blue, Grey",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30001,NH30001,,NH30001,Master,NH30001,,"steel, rust, patina, rivet, riveted, urban, metal, grunge, worn, tarnished",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30001_web.jpg,78.00,Roll,1,1,Faux Finish,"Brown, Bronze, Grey, Multi",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30004,NH30004,,NH30004,Master,NH30004,,"steel, rust, patina, rivet, riveted, urban, metal, grunge, worn, tarnished",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30004_web.jpg,78.00,Roll,1,1,Faux Finish,"Bronze, Multi",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30005,NH30005,,NH30005,Master,NH30005,,"steel, rust, patina, rivet, riveted, urban, metal, grunge, worn, tarnished",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30005_web.jpg,78.00,Roll,1,1,Faux Finish,"Neutral, Beige, ",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30008,NH30008,,NH30008,Master,NH30008,,"steel, rust, patina, rivet, riveted, urban, metal, grunge, worn, tarnished",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30008_web.jpg,78.00,Roll,1,1,Faux Finish,"Silver, Grey",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30100,NH30100,,NH30100,Master,NH30100,,"plaster, paint, rustic, worn, classical,",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30100_web.jpg,78.00,Roll,1,1,Faux Finish,Off-White,,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30105,NH30105,,NH30105,Master,NH30105,,"plaster, paint, rustic, worn, classical,",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30105_web.jpg,78.00,Roll,1,1,Faux Finish,Cream,,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30108,NH30108,,NH30108,Master,NH30108,,"plaster, paint, rustic, worn, classical,",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30108_web.jpg,78.00,Roll,1,1,Faux Finish,Off-White,,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30200,NH30200,,NH30200,Master,NH30200,,"tile, mosaic, triangle, diamond, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30200_web.jpg,78.00,Roll,1,1,"Geometric, Faux Finish",Grey,,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30202,NH30202,,NH30202,Master,NH30202,,"tile, mosaic, triangle, diamond, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30202_web.jpg,78.00,Roll,1,1,"Geometric, Faux Finish",Blue,,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30205,NH30205,,NH30205,Master,NH30205,,"tile, mosaic, triangle, diamond, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30205_web.jpg,78.00,Roll,1,1,"Geometric, Faux Finish",Grey,,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,Exclusive Lines,Precious Elements,NH30207,NH30207,,NH30207,Master,NH30207,,"tile, mosaic, triangle, diamond, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Precious_Elements/NH30207_web.jpg,78.00,Roll,1,1,"Geometric, Faux Finish","Brown, Gold, Bronze",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
