websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A, H",Astek,Digital,Studio,Revival,Crossroads,AD024,Fiesta,Color Way,AD024-1,,geometric,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD024-1_Crossroads_FIESTA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD024-1_Crossroads_FIESTA_install.jpg,9.99,Square Foot,1,1,Contemporary,"Red, Multi, Orange",Matte Vinyl,,,,,,,,8.16,13.99,Straight,48.96,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Crossroads,AD024,Gemstone,Color Way,AD024-2,,"floral, geometric",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD024-2_Crossroads_GEMSTONE.jpg,,9.99,Square Foot,1,1,Contemporary,"Blue, Green, Multi",Matte Vinyl,,,,,,,,8.16,13.99,Straight,48.96,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Crossroads,AD024,Smoke,Color Way,AD024-3,,"floral, geometric",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD024-3_Crossroads_SMOKE.jpg,,9.99,Square Foot,1,1,Contemporary,Black and White,Matte Vinyl,,,,,,,,8.16,13.99,Straight,48.96,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,"Studio, Metallic",Revival,Eden,AD030,Shamrock,Color Way,AD030-1,,"floral, retro, art nouveau",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD030-1_Eden_SHAMROCK.jpg,,9.99,Square Foot,1,1,"Traditional, Art Nouveau, Botanical, Damask",Black and White,Matte Vinyl,,,,,,,,13.25,26.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Eden,AD030,Decadence,Color Way,AD030-2,,"floral, retro, art nouveau",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD030-2_Eden_DECADENCE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD030-2_Eden_DECADENCE_install.jpg,9.99,Square Foot,1,1,"Traditional, Art Nouveau, Botanical, Damask","Green, Gold",Gold Mylar,,,,,,,,13.25,26.5,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Eden,AD030,Wintergreen,Color Way,AD030-3,,"floral, retro, art nouveau",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD030-3_Eden_WINTERGREEN.jpg,,9.99,Square Foot,1,1,"Traditional, Art Nouveau, Botanical, Damask","Blue, Cream",Matte Vinyl,,,,,,,,13.25,26.5,Straight,39.72,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Gypsy,AD031,Ochre,Color Way,AD031-1,,floral,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD031-1_Gypsy_OCHRE.jpg,,9.99,Square Foot,1,1,"Botanical,","Blue, Red, Grey",Matte Vinyl,,,,,,,,29.14,29.12,Half-drop,43.71,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Gypsy,AD031,Demin,Color Way,AD031-2,,floral,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD031-2_Gypsy_DEMIN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD031-2_Gypsy_DENIM_install.jpg,9.99,Square Foot,1,1,"Botanical,","Green, Pink",Matte Vinyl,,,,,,,,29.14,29.82,Half-drop,43.71,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Gypsy,AD031,Umber,Color Way,AD031-3,,floral,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD031-3_Gypsy_UMBER.jpg,,9.99,Square Foot,1,1,"Botanical,",Black and White,Matte Vinyl,,,,,,,,29.14,29.12,Half-drop,43.71,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,French Kiss,AD037,Noir,Color Way,AD037-1,,decorative,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD037-1_French_Kiss_NOIR.jpg,,9.99,Square Foot,1,1,"Damask, Traditional","Blue, White",Matte Vinyl,,,,,,,,17.33,21.56,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
