websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18260,18260,18260,Master,18260,,"text, book, pages, collage",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18260_web.jpg,,72.90,Roll,1,1,"Contemporary, Illustrative",Grey,,Paper,20.5,11,,,,,,25.2,Offset,,3,Paste the Wall,Strippable,,Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18261,18261,18261,Master,18261,,"text, book, pages, collage",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18261_web.jpg,,72.90,Roll,1,1,"Contemporary, Illustrative",Grey,,Paper,20.5,11,,,,,,25.2,Offset,,3,Paste the Wall,Strippable,,Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18270,18270,18270,Master,18270,,"map, collage",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18270_web.jpg,,72.90,Roll,1,1,"Contemporary, Illustrative",Blue,,Paper,20.5,11,,,,,,25.2,Offset,,3,Paste the Wall,Strippable,,Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18271,18271,18271,Master,18271,,"map, collage",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18271_web.jpg,,72.90,Roll,1,1,"Contemporary, Illustrative",Grey,,Paper,20.5,11,,,,,,25.2,Offset,,3,Paste the Wall,Strippable,,Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18272,18272,18272,Master,18272,,"map, collage",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18272_web.jpg,,72.90,Roll,1,1,"Contemporary, Illustrative",Multi,,Paper,20.5,11,,,,,,25.2,Offset,,3,Paste the Wall,Strippable,,Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18280,18280,18280,Master,18280,,"photographs, collage",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18280_web.jpg,,72.90,Roll,1,1,"Contemporary, Photographic",Black and White,,Paper,20.5,11,,,,,,25.2,Straight,,3,Paste the Wall,Strippable,,Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18281,18281,18281,Master,18281,,"photographs, collage",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18281_web.jpg,,72.90,Roll,1,1,"Contemporary, Photographic",Brown,,Paper,20.5,11,,,,,,25.2,Straight,,3,Paste the Wall,Strippable,,Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18290,18290,18290,Master,18290,,"wood, woodgrain, plank",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18290_web.jpg,,72.90,Roll,1,1,"Textural, Photographic",Brown,,Paper,20.5,11,,,,,,25.2,Straight,,3,Paste the Wall,Strippable,,Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18291,18291,18291,Master,18291,,"wood, woodgrain, plank",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18291_web.jpg,,72.90,Roll,1,1,"Textural, Photographic",Grey,,Paper,20.5,11,,,,,,25.2,Straight,,3,Paste the Wall,Strippable,,Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18292,18292,18292,Master,18292,,"wood, woodgrain, plank",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18292_web.jpg,,72.90,Roll,1,1,"Textural, Photographic",White,,Paper,20.5,11,,,,,,25.2,Straight,,3,Paste the Wall,Strippable,,Good,Class A,,,No
"A,H",BN,3-6 weeks,Specialty,"Exclusive Lines, Residential",Riviera Maison,18293,18293,18293,Master,18293,,"wood, woodgrain, plank",https://s3-us-west-2.amazonaws.com/astek-product-images/Riviera_Maison/18293_web.jpg,,72.90,Roll,1,1,"Textural, Photographic",Beige,,Paper,20.5,11,,,,,,25.2,Straight,,3,Paste the Wall,Strippable,,Good,Class A,,,No
