websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",P&W,3-6 weeks,Naturals,"Mica, Textured",Second Nature,SN101,SN101,SN101,Master,SN101,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Second_Nature/SN101_SN101_SN101.jpg,,226.05,Roll,1,1,Textural,White,,Paper,36,8,,,,,,,,,14,,,,,Class A,,,No
"A,H",P&W,3-6 weeks,Naturals,"Cork, Textured",Second Nature,SN102,SN102,SN102,Master,SN102,,"cork, bark, wood, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Second_Nature/SN102_SN102_SN102.jpg,,198.00,Roll,1,1,Textural,"Silver, White",,Paper,36,8,,,,,,,,,14,,,,,Class A,,,No
"A,H",P&W,3-6 weeks,Naturals,"Cork, Textured",Second Nature,SN103,SN103,SN103,Master,SN103,,"cork, bark, wood, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Second_Nature/SN103_SN103_SN103.jpg,,198.00,Roll,1,1,Textural,"Silver, White",,Paper,36,8,,,,,,,,,14,,,,,Class A,,,No
"A,H",P&W,3-6 weeks,Naturals,"Mica, Textured",Second Nature,SN104,SN104,SN104,Master,SN104,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Second_Nature/SN104_SN104_SN104.jpg,,267.30,Roll,1,1,Textural,White,,Paper,36,8,,,,,,,,,14,,,,,Class A,,,No
"A,H",P&W,3-6 weeks,Naturals,"Mica, Textured",Second Nature,SN105,SN105,SN105,Master,SN105,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Second_Nature/SN105_SN105_SN105.jpg,,272.25,Roll,1,1,Textural,White,,Paper,36,8,,,,,,,,,14,,,,,Class A,,,No
"A,H",P&W,3-6 weeks,Naturals,"Cork, Textured",Second Nature,SN106,SN106,SN106,Master,SN106,,"cork, bark, wood, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Second_Nature/SN106_SN106_SN106.jpg,,312.68,Roll,1,1,Textural,"Off-White, Silver",,Paper,36,8,,,,,,,,,14,,,,,Class A,,,No
"A,H",P&W,3-6 weeks,Naturals,"Mica, Textured",Second Nature,SN107,SN107,SN107,Master,SN107,,"mica, silt, stone, shine, shiny, sheen, mineral",https://s3-us-west-2.amazonaws.com/astek-product-images/Second_Nature/SN107_SN107_SN107.jpg,,293.70,Roll,1,1,Textural,"Off-White,",,Paper,36,8,,,,,,,,,14,,,,,Class A,,,No
"A,H",P&W,3-6 weeks,Naturals,"Grasscloth, Textured",Second Nature,SN108,SN108,SN108,Master,SN108,,"weave, woven, textile, fiber, yarn, raw silk, silk, fabric",https://s3-us-west-2.amazonaws.com/astek-product-images/Second_Nature/SN108_SN108_SN108.jpg,,130.35,Roll,1,1,Textural,White,,Paper,36,8,,,,,,,,,14,,,,,Class A,,,No
"A,H",P&W,3-6 weeks,Naturals,"Grasscloth, Textured",Second Nature,SN109,SN109,SN109,Master,SN109,,"grass, weave, woven, jute, sisal, hyacinth, fiber",https://s3-us-west-2.amazonaws.com/astek-product-images/Second_Nature/SN109_SN109_SN109.jpg,,130.35,Roll,1,1,Textural,White,,Paper,36,8,,,,,,,,,14,,,,,Class A,,,No
"A,H",P&W,3-6 weeks,Naturals,"Grasscloth, Textured",Second Nature,SN110,SN110,SN110,Master,SN110,,"weave, woven, textile, fiber, yarn, raw silk, silk, fabric",https://s3-us-west-2.amazonaws.com/astek-product-images/Second_Nature/SN110_SN110_SN110.jpg,,455.40,Roll,1,1,Textural,Off-White,,Paper,36,8,,,,,,,,,14,,,,,Class A,,,No
