websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Nina Hancock,3-6 weeks,Specialty,"Exclusive Lines, Residential",Senzai,NH10001,NH10001,NH10001,Master,NH10001,,"floral, flower, flowers, trees, cherry blossom, cherry blossoms, blossoms, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Senzai/NH10001_web.jpg,,78.00,Roll,1,1,Botanical,"Pink, Purple, Grey",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,"Exclusive Lines, Residential",Senzai,NH10005,NH10005,NH10005,Master,NH10005,,"floral, flower, flowers, trees, cherry blossom, cherry blossoms, blossoms, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Senzai/NH10005_web.jpg,,78.00,Roll,1,1,Botanical,"Gold, Beige",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,"Exclusive Lines, Residential",Senzai,NH10007,NH10007,NH10007,Master,NH10007,,"floral, flower, flowers, trees, cherry blossom, cherry blossoms, blossoms, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Senzai/NH10007_web.jpg,,78.00,Roll,1,1,Botanical,"Grey, Neutral, Multi",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,"Exclusive Lines, Residential",Senzai,NH10008,NH10008,NH10008,Master,NH10008,,"floral, flower, flowers, trees, cherry blossom, cherry blossoms, blossoms, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Senzai/NH10008_web.jpg,,78.00,Roll,1,1,Botanical,Grey,,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,"Exclusive Lines, Residential",Senzai,NH10102,NH10102,NH10102,Master,NH10102,,"weave, woven, basket, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Senzai/NH10102_web.jpg,,78.00,Roll,1,1,Botanical,Grey,,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,"Exclusive Lines, Residential",Senzai,NH10105,NH10105,NH10105,Master,NH10105,,"weave, woven, basket, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Senzai/NH10105_web.jpg,,78.00,Roll,1,1,Textural,Beige,,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,"Exclusive Lines, Residential",Senzai,NH10107,NH10107,NH10107,Master,NH10107,,"weave, woven, basket, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Senzai/NH10107_web.jpg,,78.00,Roll,1,1,Textural,"Off-White, Grey",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,"Exclusive Lines, Residential",Senzai,NH10108,NH10108,NH10108,Master,NH10108,,"weave, woven, basket, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Senzai/NH10108_web.jpg,,78.00,Roll,1,1,Botanical,"Off-White, Grey",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,"Exclusive Lines, Residential",Senzai,NH10201,NH10201,NH10201,Master,NH10201,,"floral, flower, flowers, tropical",https://s3-us-west-2.amazonaws.com/astek-product-images/Senzai/NH10201_web.jpg,,78.00,Roll,1,1,Botanical,Multi,,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
"A,H",Nina Hancock,3-6 weeks,Specialty,"Exclusive Lines, Residential",Senzai,NH10203,NH10203,NH10203,Master,NH10203,,"floral, flower, flowers, tropical",https://s3-us-west-2.amazonaws.com/astek-product-images/Senzai/NH10203_web.jpg,,78.00,Roll,1,1,Botanical,"Multi, Yellow, Green Blue",,Paper,20.5,11,,,,,,,,,3,,Strippable,,Good,Class A,,,No
