websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1000,SI-1000,,SI-1000,Master,SI-1000,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1000_web.jpg,444.53,Roll,1,3,Textural,Red,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1001,SI-1001,,SI-1001,Master,SI-1001,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1001_web.jpg,444.53,Roll,1,3,Textural,Black,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1002,SI-1002,,SI-1002,Master,SI-1002,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1002_web.jpg,444.53,Roll,1,3,Textural,Blue,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1003,SI-1003,,SI-1003,Master,SI-1003,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1003_web.jpg,444.53,Roll,1,3,Textural,White,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1004,SI-1004,,SI-1004,Master,SI-1004,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1004_web.jpg,367.48,Roll,1,3,Textural,"Black,Grey",,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1005,SI-1005,,SI-1005,Master,SI-1005,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1005_web.jpg,367.48,Roll,1,3,Textural,"Yellow, Black",,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1006,SI-1006,,SI-1006,Master,SI-1006,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1006_web.jpg,367.48,Roll,1,3,Textural,"Yellow, Orange",,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1007,SI-1007,,SI-1007,Master,SI-1007,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1007_web.jpg,367.48,Roll,1,3,Textural,Blue,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1008,SI-1008,,SI-1008,Master,SI-1008,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1008_web.jpg,367.48,Roll,1,3,Textural,Orange,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1009,SI-1009,,SI-1009,Master,SI-1009,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1009_web.jpg,367.48,Roll,1,3,Textural,Black and White,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1010,SI-1010,,SI-1010,Master,SI-1010,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1010_web.jpg,367.48,Roll,1,3,Textural,Brown,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
