websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Astek,3-6 weeks,Specialty,Metallic,Shimmer,SM01,SM01,SM01,Master,SM01,,"shine, shiny, sheen, mica, mineral, sparkle, glitz, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Shimmer/SM01.jpg,,57.25,Yard,1,4,Textural,White,,Fabric Backed,54,10,,,,,,,Random,,1.25,,Strippable,Vacuum ,Good,Class A,,,No
A,Astek,3-6 weeks,Specialty,Metallic,Shimmer,SM02,SM02,SM02,Master,SM02,,"shine, shiny, sheen, mica, mineral, sparkle, glitz, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Shimmer/SM02.jpg,,57.25,Yard,1,4,Textural,Pink,,Fabric Backed,54,10,,,,,,,Random,,1.25,,Strippable,Vacuum ,Good,Class A,,,No
A,Astek,3-6 weeks,Specialty,Metallic,Shimmer,SM03,SM03,SM03,Master,SM03,,"shine, shiny, sheen, mica, mineral, sparkle, glitz, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Shimmer/SM03.jpg,,57.25,Yard,1,4,Textural,Silver,,Fabric Backed,54,10,,,,,,,Random,,1.25,,Strippable,Vacuum ,Good,Class A,,,No
A,Astek,3-6 weeks,Specialty,Metallic,Shimmer,SM04,SM04,SM04,Master,SM04,,"shine, shiny, sheen, mica, mineral, sparkle, glitz, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Shimmer/SM04.jpg,,57.25,Yard,1,4,Textural,Pink,,Fabric Backed,54,10,,,,,,,Random,,1.25,,Strippable,Vacuum ,Good,Class A,,,No
A,Astek,3-6 weeks,Specialty,Metallic,Shimmer,SM05,SM05,SM05,Master,SM05,,"shine, shiny, sheen, mica, mineral, sparkle, glitz, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Shimmer/SM05.jpg,,57.25,Yard,1,4,Textural,Blue,,Fabric Backed,54,10,,,,,,,Random,,1.25,,Strippable,Vacuum ,Good,Class A,,,No
A,Astek,3-6 weeks,Specialty,Metallic,Shimmer,SM06,SM06,SM06,Master,SM06,,"shine, shiny, sheen, mica, mineral, sparkle, glitz, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Shimmer/SM06.jpg,,57.25,Yard,1,4,Textural,Pink,,Fabric Backed,54,10,,,,,,,Random,,1.25,,Strippable,Vacuum ,Good,Class A,,,No
A,Astek,3-6 weeks,Specialty,Metallic,Shimmer,SM07,SM07,SM07,Master,SM07,,"shine, shiny, sheen, mica, mineral, sparkle, glitz, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Shimmer/SM07.jpg,,57.25,Yard,1,4,Textural,Gold,,Fabric Backed,54,10,,,,,,,Random,,1.25,,Strippable,Vacuum ,Good,Class A,,,No
A,Astek,3-6 weeks,Specialty,Metallic,Shimmer,SM08,SM08,SM08,Master,SM08,,"shine, shiny, sheen, mica, mineral, sparkle, glitz, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Shimmer/SM08.jpg,,57.25,Yard,1,4,Textural,Gold,,Fabric Backed,54,10,,,,,,,Random,,1.25,,Strippable,Vacuum ,Good,Class A,,,No
A,Astek,3-6 weeks,Specialty,Metallic,Shimmer,SM09,SM09,SM09,Master,SM09,,"shine, shiny, sheen, mica, mineral, sparkle, glitz, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Shimmer/SM09.jpg,,57.25,Yard,1,4,Textural,Green,,Fabric Backed,54,10,,,,,,,Random,,1.25,,Strippable,Vacuum ,Good,Class A,,,No
A,Astek,3-6 weeks,Specialty,Metallic,Shimmer,SM10,SM10,SM10,Master,SM10,,"shine, shiny, sheen, mica, mineral, sparkle, glitz, luxe",https://s3-us-west-2.amazonaws.com/astek-product-images/Shimmer/SM10.jpg,,57.25,Yard,1,4,Textural,Blue,,Fabric Backed,54,10,,,,,,,Random,,1.25,,Strippable,Vacuum ,Good,Class A,,,No
