websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Tokiwa,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Spellbind,SB101,SB101,,SB101,Master,SB101,,"weave, woven, marbled, shine, sheen, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Spellbind/SB101_web.jpg,776.25,Roll,1,1,Textural,"Gold, White",,Non-Woven,36,12,,,,,,,,,7,,Strippable,Light Vacuum,Good,Class A,,,No
"A,H",Tokiwa,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Spellbind,SB102,SB102,,SB102,Master,SB102,,"weave, woven, marbled, shine, sheen, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Spellbind/SB102_web.jpg,776.25,Roll,1,1,Textural,"Gold, Black",,Non-Woven,36,12,,,,,,,,,7,,Strippable,Light Vacuum,Good,Class A,,,No
"A,H",Tokiwa,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Spellbind,SB103,SB103,,SB103,Master,SB103,,"weave, woven, marbled, shine, sheen, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Spellbind/SB103_web.jpg,776.25,Roll,1,1,Textural,"Red, Gold, White",,Paper,36,12,,,,,,,,,7,,Strippable,Light Vacuum,Good,Class A,,,No
"A,H",Tokiwa,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Spellbind,SB104,SB104,,SB104,Master,SB104,,"weave, woven, marbled, shine, sheen, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Spellbind/SB104_web.jpg,776.25,Roll,1,1,Textural,Bronze,,Non-Woven,36,12,,,,,,,,,7,,Strippable,Light Vacuum,Good,Class A,,,No
"A,H",Tokiwa,3-6 weeks,Naturals,"Grasscloth, Textured",Spellbind,SB105,SB105,,SB105,Master,SB105,,"weave, woven, marbled, shine, sheen, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Spellbind/SB105_web.jpg,776.25,Roll,1,1,Textural,"Brown, Black",,Non-Woven,36,12,,,,,,,,,7,,Strippable,Light Vacuum,Good,Class A,,,No
"A,H",Tokiwa,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Spellbind,SB106,SB106,,SB106,Master,SB106,,"weave, woven, shine, sheen, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Spellbind/SB106_web.jpg,776.25,Roll,1,1,Textural,"Silver, Neutral, Grey",,Non-Woven,36,12,,,,,,,,,7,,Strippable,Light Vacuum,Good,Class A,,,No
"A,H",Tokiwa,3-6 weeks,Naturals,"Grasscloth, Textured",Spellbind,SB107,SB107,,SB107,Master,SB107,,"weave, woven, shine, sheen, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Spellbind/SB107_web.jpg,776.25,Roll,1,1,Textural,Cream,,Non-Woven,36,12,,,,,,,,,7,,Strippable,Light Vacuum,Good,Class A,,,No
"A,H",Tokiwa,3-6 weeks,Naturals,"Grasscloth, Textured",Spellbind,SB108,SB108,,SB108,Master,SB108,,"weave, woven, shine, sheen, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Spellbind/SB108_web.jpg,776.25,Roll,1,1,Textural,Off-White,,Non-Woven,36,12,,,,,,,,,7,,Strippable,Light Vacuum,Good,Class A,,,No
"A,H",Tokiwa,3-6 weeks,Naturals,"Grasscloth, Textured",Spellbind,SB109,SB109,,SB109,Master,SB109,,"weave, woven, shine, sheen, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Spellbind/SB109_web.jpg,776.25,Roll,1,1,Textural,"Cream, Off-White",,Paper,36,12,,,,,,,,,7,,Strippable,Light Vacuum,Good,Class A,,,No
"A,H",Tokiwa,3-6 weeks,Naturals,"Grasscloth, Textured, Metallic",Spellbind,SB110,SB110,,SB110,Master,SB110,,"weave, woven, shine, sheen, shiny",https://s3-us-west-2.amazonaws.com/astek-product-images/Spellbind/SB110_web.jpg,776.25,Roll,1,1,Textural,"Bronze, Gold",,Non-Woven,36,12,,,,,,,,,7,,Strippable,Light Vacuum,Good,Class A,,,No
