websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Studio, Murals",Strata,Bump,AD321,Ash,Color Way,AD321-1,,"linear, undulate, movement, drama, dynamic, ripple, wave, contour, stripe, striped, topography, line, lines, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Strata/AD321-1_Bump_ASH.jpg,,6.99,Square Foot,1,1,"Stripes + Plaid, Abstract, Contemporary",Grey,Bali,,,,203.74,108,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Strata,Bump,AD321,Lichen,Color Way,AD321-2,,"linear, undulate, movement, drama, dynamic, ripple, wave, contour, stripe, striped, topography, line, lines, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Strata/AD321-2_Bump_LICHEN.jpg,,6.99,Square Foot,1,1,"Stripes + Plaid, Abstract, Contemporary",Green,Fiji,,,,203.74,108,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Strata,Bump,AD321,Sand,Color Way,AD321-3,,"linear, undulate, movement, drama, dynamic, ripple, wave, contour, stripe, striped, topography, line, lines, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Strata/AD321-3_Bump_SAND.jpg,,6.99,Square Foot,1,1,"Stripes + Plaid, Abstract, Contemporary",Neutral,Kalahari,,,,203.74,108,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Strata,Tectonic,AD322,Estuary,Color Way,AD322-1,,"linear, undulate, movement, drama, dynamic, ripple, wave, contour, stripe, striped, topography, line, lines, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Strata/AD322-1_Tectonic_ESTUARY.jpg,,6.99,Square Foot,1,1,"Stripes + Plaid, Abstract, Contemporary",Blue,Bali,,,,200,114.86,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Strata,Tectonic,AD322,Luteus,Color Way,AD322-2,,"linear, undulate, movement, drama, dynamic, ripple, wave, contour, stripe, striped, topography, line, lines, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Strata/AD322-2_Tectonic_LUTEUS.jpg,,6.99,Square Foot,1,1,"Stripes + Plaid, Abstract, Contemporary",Orange,Fiji,,,,200,114.86,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Strata,Tectonic,AD322,Viridus,Color Way,AD322-3,,"linear, undulate, movement, drama, dynamic, ripple, wave, contour, stripe, striped, topography, line, lines, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Strata/AD322-3_Tectonic_VIRIDUS.jpg,,6.99,Square Foot,1,1,"Stripes + Plaid, Abstract, Contemporary","Blue, Green",Kalahari,,,,200,114.86,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Strata,Lava,AD323,Haze,Color Way,AD323-1,,"linear, undulate, movement, drama, dynamic, ripple, wave, contour, stripe, striped, topography, line, lines, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Strata/AD323-1_Lava_HAZE.jpg,,6.99,Square Foot,1,1,"Stripes + Plaid, Abstract, Contemporary",Purple,Bali,,,,447.42,102.08,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Strata,Lava,AD323,Steam,Color Way,AD323-2,,"linear, undulate, movement, drama, dynamic, ripple, wave, contour, stripe, striped, topography, line, lines, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Strata/AD323-2_Lava_STEAM.jpg,,6.99,Square Foot,1,1,"Stripes + Plaid, Abstract, Contemporary",Grey,Fiji,,,,447.42,102.08,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Strata,Lava,AD323,Vapor,Color Way,AD323-3,,"linear, undulate, movement, drama, dynamic, ripple, wave, contour, stripe, striped, topography, line, lines, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Strata/AD323-3_Lava_VAPOR.jpg,,6.99,Square Foot,1,1,"Stripes + Plaid, Abstract, Contemporary",Green,Kalahari,,,,447.42,102.08,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Murals",Strata,Molten,AD324,Canyon,Color Way,AD324-1,,"linear, undulate, movement, drama, dynamic, ripple, wave, contour, stripe, striped, topography, line, lines, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Strata/AD324-1_Molten_CANYON.jpg,,6.99,Square Foot,1,1,"Stripes + Plaid, Abstract, Contemporary",Multi,Bali,,,,314.02,123.96,,,,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
