websites,vendor,product_category,product_type,collection,design_name,design_sku,design_images,variant_name_old,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Surface / NYC,Atlantic,AD339,,Atlantic - Maple,Maple,Color Way,AD339-1,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD339-1_Atlantic_Maple_web.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Brown,Sonora,,54,2.45,,,96,157.116,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Atlantic,AD339,,Atlantic - Oak,Oak,Color Way,AD339-2,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD339-2_Atlantic_Oak_web.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Sonora,,54,2.45,,,96,157.116,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Atlantic,AD339,,Atlantic - White Ash,White Ash,Color Way,AD339-3,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD339-3_Atlantic_White-Ash_web.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Sonora,,54,2.45,,,96,157.116,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Broadway,AD340,,Broadway - Bridge,Bridge,Color Way,AD340-1,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD340-1_Broadway_Bridge_web.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Sonora,,54,2.45,,,96,378.66,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Broadway,AD340,,Broadway - Pass,Pass,Color Way,AD340-2,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD340-2_Broadway_Pass_web.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Sonora,,54,2.45,,,96,378.66,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Broadway,AD340,,Broadway - Traffic,Traffic,Color Way,AD340-3,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD340-3_Broadway_Traffic_web.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Sonora,,54,2.45,,,96,378.66,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Bushwick,AD341,,Bushwick - Char,Char,Color Way,AD341-1,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD341-1_Bushwick_Char_web.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Sonora,,54,2.45,,,96,106.897,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Bushwick,AD341,,Bushwick - Primrose,Primrose,Color Way,AD341-2,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD341-2_Bushwick_Primrose_web.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Purple,Sonora,,54,2.45,,,96,106.897,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Bushwick,AD341,,Bushwick - Sienna,Sienna,Color Way,AD341-3,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD341-3_Bushwick_Sienna_web.jpg,7.00,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Brown,Sonora,,54,2.45,,,96,106.897,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Chelsea,AD342,,Chelsea - Flux,Flux,Color Way,AD342-1,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD342-1_Chelsea_Flux_web.jpg,7.50,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Silver Mylar,,54,2.45,,,96,164.576,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Chelsea,AD342,,Chelsea - Gold,Gold,Color Way,AD342-2,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD342-2_Chelsea_Gold_web.jpg,7.50,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Gold,Silver Mylar,,54,2.45,,,96,164.576,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Chelsea,AD342,,Chelsea - Mod,Mod,Color Way,AD342-3,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD342-3_Chelsea_Mod_web.jpg,7.50,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Silver Mylar,,54,2.45,,,96,164.576,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Surface / NYC,Metropolitan,AD343,,Metropolitan - Blacksmith,Blacksmith,Color Way,AD343-1,,"photographic, urban, texture, city, grungy, textural, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Surface-NYC/AD343-1_Metropolitan_Blacksmith_web.jpg,7.50,Square Foot,1,1,"Textural, Faux Finish, Contemporary, Photographic ",Grey,Silver Mylar,,54,2.45,,,36,174.242,Straight,,0.123,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
