websites,vendor,product_category,product_type,collection,design_name,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17110,17110,Master,17110,,"texture, mottled, venetian plaster, tonal",https://s3.amazonaws.com/astek/Van+Gogh/17110.jpg,72.90,Roll,1,1,"Painterly, Faux Finish, Textural",Green,Paper,Paper,20.5,11,,,,,Free,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17111,17111,Master,17111,,"texture, mottled, venetian plaster, tonal",https://s3.amazonaws.com/astek/Van+Gogh/17111.jpg,72.90,Roll,1,1,"Painterly, Faux Finish, Textural",Green,Paper,Paper,20.5,11,,,,,Free,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17112,17112,Master,17112,,"texture, mottled, venetian plaster, tonal",https://s3.amazonaws.com/astek/Van+Gogh/17112.jpg,72.90,Roll,1,1,"Painterly, Faux Finish, Textural",Blue,Paper,Paper,20.5,11,,,,,Free,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17113,17113,Master,17113,,"texture, mottled, venetian plaster, tonal",https://s3.amazonaws.com/astek/Van+Gogh/17113.jpg,72.90,Roll,1,1,"Painterly, Faux Finish, Textural",Turquoise,Paper,Paper,20.5,11,,,,,Free,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17114,17114,Master,17114,,"texture, mottled, venetian plaster, tonal",https://s3.amazonaws.com/astek/Van+Gogh/17114.jpg,72.90,Roll,1,1,"Painterly, Faux Finish, Textural",Blue,Paper,Paper,20.5,11,,,,,Free,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17115,17115,Master,17115,,"texture, mottled, venetian plaster, tonal",https://s3.amazonaws.com/astek/Van+Gogh/17115.jpg,72.90,Roll,1,1,"Painterly, Faux Finish, Textural",Grey,Paper,Paper,20.5,11,,,,,Free,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17116,17116,Master,17116,,"texture, mottled, venetian plaster, tonal",https://s3.amazonaws.com/astek/Van+Gogh/17116.jpg,72.90,Roll,1,1,"Painterly, Faux Finish, Textural",Grey,Paper,Paper,20.5,11,,,,,Free,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17117,17117,Master,17117,,"texture, mottled, venetian plaster, tonal",https://s3.amazonaws.com/astek/Van+Gogh/17117.jpg,72.90,Roll,1,1,"Painterly, Faux Finish, Textural",Grey,Paper,Paper,20.5,11,,,,,Free,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17119,17119,Master,17119,,"texture, mottled, venetian plaster, tonal",https://s3.amazonaws.com/astek/Van+Gogh/17119.jpg,72.90,Roll,1,1,"Painterly, Faux Finish, Textural",Blue,Paper,Paper,20.5,11,,,,,Free,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17120,17120,Master,17120,,"texture, mottled, venetian plaster, tonal",https://s3.amazonaws.com/astek/Van+Gogh/17120.jpg,72.90,Roll,1,1,"Painterly, Faux Finish, Textural",Grey,Paper,Paper,20.5,11,,,,,Free,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
