websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0801,VC0801,VC0801,Master,VC0801,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0801.jpg,,265.00,Roll,1,1,"Traditional, Damask","Red, Black",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0802,VC0802,VC0802,Master,VC0802,,"harlequin, diamond",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0802.jpg,,265.00,Roll,1,1,Geometric,"Red, Black",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0803,VC0803,VC0803,Master,VC0803,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0803.jpg,,265.00,Roll,1,1,"Damask, Traditional","Red, Black",,Paper,30,15,,,,,,32,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0804,VC0804,VC0804,Master,VC0804,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0804.jpg,,265.00,Roll,1,1,"Botanical, Damask",Red,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0805,VC0805,VC0805,Master,VC0805,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0805.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0806,VC0806,VC0806,Master,VC0806,,"bird, deer, damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0806.jpg,,265.00,Roll,1,1,"Damask, Animalia, Botanical",Red,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0807,VC0807,VC0807,Master,VC0807,,"bird, deer, damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0807.jpg,,265.00,Roll,1,1,"Damask, Animalia, Botanical","Cream, Pink",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0808,VC0808,VC0808,Master,VC0808,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0808.jpg,,265.00,Roll,1,1,"Damask, Traditional","Cream, Pink",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0809,VC0809,VC0809,Master,VC0809,,"harlequin, diamond",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0809.jpg,,265.00,Roll,1,1,Geometric,"Cream, Pink",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0810,VC0810,VC0810,Master,VC0810,,"link, chain, chainlink, chain link, square, trellis",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0810.jpg,,265.00,Roll,1,1,Geometric,"Pink, White",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
