websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV101 - Heirloom,VV101,VV101 - Heirloom,Master,VV101,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV101_Heirloom_HEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,27,41,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential, Metallic",Vogue Velour,VV102 - Heirloom,VV102,VV102 - Heirloom,Master,VV102,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV102_Heirloom_HEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional","Red, Gold",,Paper,30,15,,,,,27,41,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV103 - Heirloom,VV103,VV103 - Heirloom,Master,VV103,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV103_Heirloom_HEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional","Red, Blue",,Paper,30,15,,,,,27,41,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV104 - Heirloom,VV104,VV104 - Heirloom,Master,VV104,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV104_Heirloom_HEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,27,41,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV105 - Heirloom,VV105,VV105 - Heirloom,Master,VV105,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV105_Heirloom_HEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional",Black,,Paper,30,15,,,,,27,41,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV106 - Heirloom,VV106,VV106 - Heirloom,Master,VV106,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV106_Heirloom_HEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,27,41,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV108 - Petite Heirloom,VV108,VV108 - Petite Heirloom,Master,VV108,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV108_Petite_Heirloom_PETITEHEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,26.5,31.5,Straight,26.5,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.75,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV109 - Petite Heirloom,VV109,VV109 - Petite Heirloom,Master,VV109,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV109_Petite_Heirloom_PETITEHEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional",Black,,Paper,30,15,,,,,26.5,31.5,Straight,26.5,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.75,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV110 - Petite Heirloom,VV110,VV110 - Petite Heirloom,Master,VV110,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV110_Petite_Heirloom_PETITEHEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,26.5,31.5,Straight,26.5,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.75,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV111 - Petite Heirloom,VV111,VV111 - Petite Heirloom,Master,VV111,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV111_Petite_Heirloom_PETITEHEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,26.5,31.5,Straight,26.5,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.75,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential, Metallic",Vogue Velour,VV112 - Petite Heirloom,VV112,VV112 - Petite Heirloom,Master,VV112,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV112_Petite_Heirloom_PETITEHEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional",Black,,Paper,30,15,,,,,26.5,31.5,Straight,26.5,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.75,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV113 - Petite Heirloom,VV113,VV113 - Petite Heirloom,Master,VV113,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV113_Petite_Heirloom_PETITEHEIRLOOM.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,26.5,31.5,Straight,26.5,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.75,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV114 - Madison Damask,VV114,VV114 - Madison Damask,Master,VV114,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV114_Madison_Damask_MADISONDAMASK.jpg,,265.00,Roll,1,1,"Damask, Traditional",Gold,,Paper,30,15,,,,,27,36,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV115 - Madison Damask,VV115,VV115 - Madison Damask,Master,VV115,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV115_Madison_Damask_MADISONDAMASK.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,27,36,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV116 - Madison Damask,VV116,VV116 - Madison Damask,Master,VV116,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV116_Madison_Damask_MADISONDAMASK.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,27,36,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV117 - Madison Damask,VV117,VV117 - Madison Damask,Master,VV117,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV117_Madison_Damask_MADISONDAMASK.jpg,,265.00,Roll,1,1,"Damask, Traditional","Gold, Black",,Paper,30,15,,,,,27,36,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV118 - Madison Damask,VV118,VV118 - Madison Damask,Master,VV118,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV118_Madison_Damask_MADISONDAMASK.jpg,,265.00,Roll,1,1,"Damask, Traditional",Black and White,,Paper,30,15,,,,,27,36,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential, Metallic",Vogue Velour,VV119 - Madison Damask,VV119,VV119 - Madison Damask,Master,VV119,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV119_Madison_Damask_MADISONDAMASK.jpg,,265.00,Roll,1,1,"Damask, Traditional","Grey, White",,Paper,30,15,,,,,27,36,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential, Metallic",Vogue Velour,VV120 - St. Moritz,VV120,VV120 - St. Moritz,Master,VV120,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV120_St_Moritz_STMORITZ.jpg,,265.00,Roll,1,1,"Damask, Traditional","Gold, Black",,Paper,30,15,,,,,27,27.25,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV121 - St. Moritz,VV121,VV121 - St. Moritz,Master,VV121,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV121_St_Moritz_STMORITZ.jpg,,265.00,Roll,1,1,"Damask, Traditional",Black and White,,Paper,30,15,,,,,27,27.25,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV122 - St. Moritz,VV122,VV122 - St. Moritz,Master,VV122,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV122_St_Moritz_STMORITZ.jpg,,265.00,Roll,1,1,"Damask, Traditional","Red, Gold",,Paper,30,15,,,,,27,27.25,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV123 - St. Moritz,VV123,VV123 - St. Moritz,Master,VV123,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV123_St_Moritz_STMORITZ.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,27,27.25,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential, Metallic",Vogue Velour,VV124 - St. Moritz,VV124,VV124 - St. Moritz,Master,VV124,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV124_St_Moritz_STMORITZ.jpg,,265.00,Roll,1,1,"Damask, Traditional","Grey, White",,Paper,30,15,,,,,27,27.25,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential, Metallic",Vogue Velour,VV125 - Medallions,VV125,VV125 - Medallions,Master,VV125,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV125_Medallions_MEDALLIONS.jpg,,265.00,Roll,1,1,"Damask, Traditional","Black, Gold",,Paper,30,15,,,,,27,39,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV126 - Medallions,VV126,VV126 - Medallions,Master,VV126,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV126_Medallions_MEDALLIONS.jpg,,265.00,Roll,1,1,"Damask, Traditional","Black, Grey",,Paper,30,15,,,,,27,39,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential, Metallic",Vogue Velour,VV127 - Medallions,VV127,VV127 - Medallions,Master,VV127,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV127_Medallions_MEDALLIONS.jpg,,265.00,Roll,1,1,"Damask, Traditional","Black, Grey",,Paper,30,15,,,,,27,39,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV128 - Medallions,VV128,VV128 - Medallions,Master,VV128,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV128_Medallions_MEDALLIONS.jpg,,265.00,Roll,1,1,"Damask, Traditional","White, Grey",,Paper,30,15,,,,,27,39,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV129 - Medallions,VV129,VV129 - Medallions,Master,VV129,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV129_Medallions_MEDALLIONS.jpg,,265.00,Roll,1,1,"Damask, Traditional",Red,,Paper,30,15,,,,,27,39,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential",Vogue Velour,VV130 - Medallions,VV130,VV130 - Medallions,Master,VV130,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV130_Medallions_MEDALLIONS.jpg,,265.00,Roll,1,1,"Damask, Traditional","Black, Grey",,Paper,30,15,,,,,27,39,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,"Textured, Residential, Metallic",Vogue Velour,VV131 - Grille,VV131,VV131 - Grille,Master,VV131,,"victorian,velour, flock, velvet, flocking, flocked, damask",https://s3-us-west-2.amazonaws.com/astek-product-images/Vogue_Velour/VV131_Grille_GRILLE.jpg,,265.00,Roll,1,1,"Damask, Traditional","Grey, Off-White",,Paper,30,15,,,,,27,25.5,Straight,27,6,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
