websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK201,WK201,WK201,Master,WK201,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-201.jpg,,34.05,Yard,1,10,Textural,Red,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK202,WK202,WK202,Master,WK202,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-202.jpg,,34.05,Yard,1,10,Textural,Silver,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK203,WK203,WK203,Master,WK203,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-203.jpg,,34.05,Yard,1,10,Textural,Gold,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK204,WK204,WK204,Master,WK204,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-204.jpg,,34.05,Yard,1,10,Textural,Gold,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK205,WK205,WK205,Master,WK205,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-205.jpg,,34.05,Yard,1,10,Textural,White,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK206,WK206,WK206,Master,WK206,,"skin, animal skin, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-206.jpg,,34.05,Yard,1,10,Textural,Gold,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK207,WK207,WK207,Master,WK207,,"skin, animal skin, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-207.jpg,,34.05,Yard,1,10,Textural,Silver,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK208,WK208,WK208,Master,WK208,,"skin, animal skin, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-208.jpg,,34.05,Yard,1,10,Textural,Bronze,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK209,WK209,WK209,Master,WK209,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-209.jpg,,34.05,Yard,1,10,Textural,Red,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK210,WK210,WK210,Master,WK210,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-210.jpg,,34.05,Yard,1,10,Textural,Black,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK211,WK211,WK211,Master,WK211,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-211.jpg,,34.05,Yard,1,10,Textural,Gold,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK212,WK212,WK212,Master,WK212,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-212.jpg,,34.05,Yard,1,10,Textural,Silver,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK213,WK213,WK213,Master,WK213,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-213.jpg,,34.05,Yard,1,10,Textural,Black,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
A,Astek,3-6 weeks,Specialty,"Metallic, Textured",Wild Kingdom II,WK214,WK214,WK214,Master,WK214,,"skin, animal skin, snake skin, reptile,",https://s3-us-west-2.amazonaws.com/astek-product-images/Wild_Kingdom_II/WK-214.jpg,,34.05,Yard,1,10,Textural,Silver,,Woven,54,55,,,,,,,Random,,1.25,Paste the Paper,Stippable ,Spongeable ,Good,CCC-W-408,,,No
