websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK701,ASK701,ASK701,Master,ASK701,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK701.jpg,,57.25,Yard,1,4,Textural,"Transparent, Off-White",,Adhesive,38,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK702,ASK702,ASK702,Master,ASK702,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK702.jpg,,67.75,Yard,1,4,Textural,Off-White,,Adhesive,38,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK703,ASK703,ASK703,Master,ASK703,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK703.jpg,,57.25,Yard,1,4,Textural,"Transparent, Off-White",,Adhesive,38,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK704,ASK704,ASK704,Master,ASK704,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK704.jpg,,57.25,Yard,1,4,Textural,Transparent,,Adhesive,38,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK705,ASK705,ASK705,Master,ASK705,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK705.jpg,,54.10,Yard,1,4,Textural,Transparent,,Adhesive,36,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK706,ASK706,ASK706,Master,ASK706,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK706.jpg,,54.10,Yard,1,4,Textural,"Transparent, Off-White",,Adhesive,36,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK707,ASK707,ASK707,Master,ASK707,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK707.jpg,,57.25,Yard,1,4,"Textural, Geometric",Transparent,,Adhesive,37,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK708,ASK708,ASK708,Master,ASK708,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK708.jpg,,57.25,Yard,1,4,"Textural, Geometric",Transparent,,Adhesive,36,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK709,ASK709,ASK709,Master,ASK709,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK709.jpg,,57.25,Yard,1,4,Textural,"Transparent, Off-White",,Adhesive,36,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK710,ASK710,ASK710,Master,ASK710,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK710.jpg,,57.25,Yard,1,4,Textural,"Transparent, Off-White",,Adhesive,49,33,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK711,ASK711,ASK711,Master,ASK711,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK711.jpg,,57.25,Yard,1,4,Textural,Transparent,,Adhesive,49,33,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK712,ASK712,ASK712,Master,ASK712,,"privacy film, stained glass",https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK712.jpg,,57.25,Yard,1,4,"Textural, Geometric",Transparent,,Adhesive,35,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK713,ASK713,ASK713,Master,ASK713,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK713.jpg,,57.25,Yard,1,4,Textural,"Transparent, Off-White",,Adhesive,49,55,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK714,ASK714,ASK714,Master,ASK714,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK714.jpg,,67.75,Yard,1,4,Textural,Transparent,,Adhesive,49,33,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
H,Tokyo,3-6 weeks,Specialty,Window Film,Window Illusions VI,ASK715,ASK715,ASK715,Master,ASK715,,privacy film,https://s3-us-west-2.amazonaws.com/astek-product-images/Window_Illusions_VI/ASK715.jpg,,67.75,Yard,1,4,Textural,Transparent,,Adhesive,49,33,,,,,,,,,9,Self-adhesive,Removable - Reusable,,,,,,No
