websites,vendor,product_category,product_type,collection,design_name,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Tokiwa,Naturals,Exclusive Lines,Winds of the Asian Pacific,WND-201,WND-201,Master,WND-201,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth","https://s3.amazonaws.com/astek/WND/WND-201.jpg, https://s3.amazonaws.com/astek/WND/WND-201_scale.jpg",146.99,Roll,1,1,Textural,Yellow,,Paper,36,8,,,,,Random,,15,Paste the Wall,,Vacum,Good,Class A,,,No
"A,H",Tokiwa,Naturals,Exclusive Lines,Winds of the Asian Pacific,WND-202,WND-202,Master,WND-202,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth","https://s3.amazonaws.com/astek/WND/WND-202.jpg, https://s3.amazonaws.com/astek/WND/WND-202_scale.jpg",146.99,Roll,1,1,Textural,Neutral,,Paper,36,8,,,,,Random,,15,Paste the Wall,,Vacum,Good,Class A,,,No
"A,H",Tokiwa,Naturals,Exclusive Lines,Winds of the Asian Pacific,WND-203,WND-203,Master,WND-203,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth","https://s3.amazonaws.com/astek/WND/WND-203.jpg, https://s3.amazonaws.com/astek/WND/WND-203_scale.jpg",146.99,Roll,1,1,Textural,Orange,,Paper,36,8,,,,,Random,,15,Paste the Wall,,Vacum,Good,Class A,,,No
"A,H",Tokiwa,Naturals,Exclusive Lines,Winds of the Asian Pacific,WND-204,WND-204,Master,WND-204,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth","https://s3.amazonaws.com/astek/WND/WND-204.jpg, https://s3.amazonaws.com/astek/WND/WND-204_scale.jpg",146.99,Roll,1,1,Textural,Yellow,,Paper,36,8,,,,,Random,,15,Paste the Wall,,Vacum,Good,Class A,,,No
"A,H",Tokiwa,Naturals,Exclusive Lines,Winds of the Asian Pacific,WND-205,WND-205,Master,WND-205,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth","https://s3.amazonaws.com/astek/WND/WND-205.jpg, https://s3.amazonaws.com/astek/WND/WND-205_scale.jpg",146.99,Roll,1,1,Textural,Red,,Paper,36,8,,,,,Random,,15,Paste the Wall,,Vacum,Good,Class A,,,No
"A,H",Tokiwa,Naturals,Exclusive Lines,Winds of the Asian Pacific,WND-206,WND-206,Master,WND-206,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth","https://s3.amazonaws.com/astek/WND/WND-206.jpg, https://s3.amazonaws.com/astek/WND/WND-206_scale.jpg",146.99,Roll,1,1,Textural,Yellow,,Paper,36,8,,,,,Random,,15,Paste the Wall,,Vacum,Good,Class A,,,No
"A,H",Tokiwa,Naturals,Exclusive Lines,Winds of the Asian Pacific,WND-207,WND-207,Master,WND-207,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth","https://s3.amazonaws.com/astek/WND/WND-207.jpg, https://s3.amazonaws.com/astek/WND/WND-207_scale.jpg",146.99,Roll,1,1,Textural,Neutral,,Paper,36,8,,,,,Random,,15,Paste the Wall,,Vacum,Good,Class A,,,No
"A,H",Tokiwa,Naturals,Exclusive Lines,Winds of the Asian Pacific,WND-208,WND-208,Master,WND-208,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth","https://s3.amazonaws.com/astek/WND/WND-208.jpg, https://s3.amazonaws.com/astek/WND/WND-208_scale.jpg",146.99,Roll,1,1,Textural,Neutral,,Paper,36,8,,,,,Random,,15,Paste the Wall,,Vacum,Good,Class A,,,No
"A,H",Tokiwa,Naturals,Exclusive Lines,Winds of the Asian Pacific,WND-209,WND-209,Master,WND-209,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth","https://s3.amazonaws.com/astek/WND/WND-209.jpg, https://s3.amazonaws.com/astek/WND/WND-209_scale.jpg",145.99,Roll,1,1,Textural,Yellow,,Paper,36,8,,,,,Random,,15,Paste the Wall,,Vacum,Good,Class A,,,No
"A,H",Tokiwa,Naturals,Exclusive Lines,Winds of the Asian Pacific,WND-210,WND-210,Master,WND-210,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth","https://s3.amazonaws.com/astek/WND/WND-210.jpg, https://s3.amazonaws.com/astek/WND/WND-210_scale.jpg",145.99,Roll,1,1,Textural,Orange,,Paper,36,8,,,,,Random,,15,Paste the Wall,,Vacum,Good,Class A,,,No
