websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW801,WW801,,WW801,Master,WW801,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW801_web.jpg,36.85,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW802,WW802,,WW802,Master,WW802,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW802_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW803,WW803,,WW803,Master,WW803,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW803_web.jpg,36.85,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW804,WW804,,WW804,Master,WW804,,"tile, tiles, mosaic, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW804_web.jpg,25.65,Yard,1,4,Faux Finish,Beige,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW805,WW805,,WW805,Master,WW805,,"tile, tiles, mosaic, faux",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW805_web.jpg,25.65,Yard,1,4,Faux Finish,Blue,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW806,WW806,,WW806,Master,WW806,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW806_web.jpg,25.65,Yard,1,4,Faux Finish,"Beige, Neutral",,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW807,WW807,,WW807,Master,WW807,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW807_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW808,WW808,,WW808,Master,WW808,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW808_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW809,WW809,,WW809,Master,WW809,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW809_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW810,WW810,,WW810,Master,WW810,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW810_web.jpg,36.85,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW811,WW811,,WW811,Master,WW811,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW811_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW812,WW812,,WW812,Master,WW812,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW812_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW813,WW813,,WW813,Master,WW813,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW813_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW814,WW814,,WW814,Master,WW814,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW814_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW815,WW815,,WW815,Master,WW815,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW815_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW816,WW816,,WW816,Master,WW816,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW816_web.jpg,36.85,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW817,WW817,,WW817,Master,WW817,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW817_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW818,WW818,,WW818,Master,WW818,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW818_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW819,WW819,,WW819,Master,WW819,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW819_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
"A,H",Astek,3-6 weeks,Specialty,Residential,"Woods, Stones, Etc. XII",WW820,WW820,,WW820,Master,WW820,,"wood, woodgrain, faux, veneer",https://s3-us-west-2.amazonaws.com/astek-product-images/Woods_Stones_Etc_XII/WW820_web.jpg,25.65,Yard,1,4,Faux Finish,Brown,,Paper,36,55,,,,,,,,,5,,,,,Class A,,,No
